Bill,Flags,Title,Status,Veto,Date,Original Sponsor
SI 732,f,Carbon pollution tax,"S Energy, Enviro",,1/22/2016,People of the State of Washington
SI 735,,Corporate & money influence,S GovtOp&Sec,,1/27/2016,People of the State of Washington
SHB 1002,,Dental insurance practices,C 9 L 15,,4/17/2015,DeBolt
EHB 1003,af,"Schools, disaster recovery",C 37 L 16,,3/29/2016,Hawkins
HB 1004,f,Alcohol tasting by students,C 59 L 15,,4/23/2015,Springer
SHB 1010,,Occupational therapists,C 10 L 15,,4/17/2015,Johnson
HB 1011,,"Climate zones, counties in",C 11 L 15,,4/17/2015,Short
HB 1013,a,County legislative meetings,C 179 L 15,,5/7/2015,Appleton
SHB 1021,,Silver alert system,C 2 L 15 E1,,6/10/2015,Appleton
HB 1022,f,Bail bond agreements,C 73 L 16,,3/31/2016,Appleton
SHB 1043,,Self-service storage,C 13 L 15,,4/17/2015,Ryu
SHB 1045,f,East Asian medicine,C 60 L 15,,4/23/2015,Tharinger
HB 1047,fd,Continuity of operations,C 61 L 15,,4/23/2015,Goodman
SHB 1052,,Military spouses/higher ed,C 14 L 15,,4/17/2015,Hayes
HB 1059,afd#,Sexually violent predators,C 278 L 15,,5/18/2015,Fagan
ESHB 1060,f#,Litter tax revenues,C 15 L 15,,4/17/2015,Fitzgibbon
HB 1061,fo#,"District judges, Skagit Cnty",C 25 L 15 E3,,7/6/2015,Hayes
SHB 1063,f,"Cosmetology, hair design etc",C 62 L 15,,4/23/2015,Kirby
SHB 1068,af#,Sexual assault exam kits,C 247 L 15,,5/14/2015,Orwall
SHB 1069,af#,"DNA work product, preserving",C 221 L 15,,5/11/2015,Orwall
HB 1077,fo,"Reinsurance, credit for",C 63 L 15,,4/23/2015,Kirby
ESHB 1078,fd,Consumer financial info,C 64 L 15,,4/23/2015,Hudgins
SHB 1088,,Flood contr zone supervisors,C 165 L 15,,5/6/2015,Takko
HB 1090,fd#,"Finan. fraud, identity theft",C 65 L 15,,4/23/2015,Kirby
EHB 1091,afd,Ticket sales over internet,C 129 L 15,,4/28/2015,Van De Wege
E2SHB 1095,f#,Thermal energy efficiency,C 19 L 15 E3,,7/6/2015,Morris
SHB 1105,ae,Operating sup budget 2015,C 3 L 15,,2/19/2015,Hunter
SHB 1111,o,Court transcripts,C 74 L 16,,3/31/2016,Kilduff
2EHB 1115,e,"Capital budget 2015, 2015-17",C 3 L 15 E3,PV,6/30/2015,Dunshee
HB 1124,a,Beer and wine sampling,C 180 L 15,,5/7/2015,Takko
ESHB 1126,af,Fatality reviews by DEL,C 199 L 15,,5/8/2015,Kagi
SHB 1127,f,Ag labor skills and safety,C 68 L 15,,4/23/2015,Chandler
SHB 1130,afd,Water power license fees,C 75 L 16,,3/31/2016,Fey
SHB 1132,f,Adult family homes,C 66 L 15,,4/23/2015,Tharinger
SHB 1138,,Higher ed mental health,C 67 L 15,,4/23/2015,Orwall
SHB 1145,,Cnty legislative authorities,C 74 L 15,,4/24/2015,Haler
SHB 1157,f#,Quick title service fees,C 1 L 15 E2,,6/30/2015,Pike
ESHB 1166,e,"State gen oblig bonds, accts",C 37 L 15 E3,,7/10/2015,Dunshee
HB 1168,fo,Retiree return-to-work/PERS,C 75 L 15,,4/24/2015,Ormsby
ESHB 1170,,Port districts admin. powers,C 35 L 15,,4/17/2015,Clibborn
HB 1172,fo,"Insurer risk mgmt, solvency",C 17 L 15,,4/17/2015,Stanford
HB 1179,f,Cider makers/wine c. assmnt,C 76 L 15,,4/24/2015,Lytton
SHB 1183,af,Radiology benefit managers,C 166 L 15,,5/6/2015,Harris
SHB 1184,f,UW health sci library access,C 77 L 15,,4/24/2015,Cody
SHB 1194,fo,"Death benefits/LEOFF, WSPRS",C 78 L 15,,4/24/2015,Kirby
ESHB 1213,,County veterans assist. fund,C 76 L 16,,3/31/2016,Orwall
HB 1219,f,State bridges,C 10 L 15 E3,,7/6/2015,Zeiger
HB 1222,f#,Firefighting apparatus,C 16 L 15,,4/17/2015,McBride
SHB 1223,f#,Lodging tx/workforce housing,C 102 L 15,,4/25/2015,Springer
HB 1232,,Fishing guide licenses,C 103 L 15,,4/25/2015,Chandler
SHB 1240,af,"Student restraint, isolation",C 206 L 15,,5/8/2015,Pollet
SHB 1252,f#,"Massage therapy, reflexology",C 18 L 15,,4/17/2015,Wylie
HB 1259,,ARNPs/signing documentation,C 104 L 15,,4/25/2015,Cody
HB 1263,,CPAs/priv. investigator regs,C 105 L 15,,4/25/2015,Stokesbary
HB 1268,f,Hemp in animal feed,C 106 L 15,,4/25/2015,Buys
2E2SHB 1272,f#,Intimate images/disclosing,C 7 L 15 E2,,7/9/2015,Buys
SHB 1274,,Nursing home payment rates,C 2 L 15 E2,,6/30/2015,Cody
2E2SHB 1276,f#,Impaired driving,C 3 L 15 E2,PV,6/30/2015,Klippert
HB 1277,,Military member lodging,C 36 L 15,,4/21/2015,Klippert
HB 1279,f#,Local tourism promo. areas,C 131 L 15,,4/28/2015,Kochmar
2SHB 1281,af#,Sexual exploitation of minor,C 279 L 15,,5/18/2015,Sawyer
HB 1282,f#,Driving w/license suspended,C 149 L 15,,5/1/2015,Zeiger
SHB 1283,f,Debt adjusting/nonprofit org,C 167 L 15,,5/6/2015,Parker
SHB 1285,,Newborn heart disease,C 37 L 15,,4/21/2015,Riccelli
2ESHB 1299,e,"Trans budgt 2013-15, 2015-17",C 10 L 15 E1,PV,6/11/2015,Clibborn
HB 1302,,Child abduction statutes,C 38 L 15,,4/21/2015,Haler
HB 1307,fd,Residen'l services & support,C 39 L 15,,4/21/2015,Harris
HB 1308,,Surplus lines of insurance,C 132 L 15,,4/29/2015,Vick
HB 1309,f,Floating home/sale by broker,C 133 L 15,,4/29/2015,Vick
SHB 1313,,Fire protection budgets,C 40 L 15,,4/21/2015,Zeiger
SHB 1316,,Arrest without warrant,C 248 L 15,,5/14/2015,Stambaugh
HB 1317,,"Sewer charges, collecting",C 41 L 15,,4/21/2015,Zeiger
SHB 1319,d,Offenses prior to 18 yrs old,C 134 L 15,,4/29/2015,Goodman
SHB 1337,f#,Public port district levies,C 135 L 15,,4/29/2015,Takko
HB 1342,f,"Cider, microbrewery sale of",C 42 L 15,,4/21/2015,Bergquist
HB 1345,f,Professional learning,C 77 L 16,,3/31/2016,Lytton
ESHB 1351,af,Nat. guard/hunting license,C 78 L 16,,3/31/2016,Blake
SHB 1382,,Basic firefighter training,C 43 L 15,,4/21/2015,Griffey
HB 1389,af#,State fire service/disasters,C 181 L 15,,5/7/2015,Goodman
HB 1392,afd#,Rec and conserv. funding brd,C 183 L 15,,5/7/2015,Stanford
2SHB 1408,f,Family engagemnt coordinator,C 79 L 16,,3/31/2016,Ortiz-Self
EHB 1409,f,Vessel owner info disclosure,C 80 L 16,,3/31/2016,Walkinshaw
ESHB 1410,,Water-sewer distrcts/bidding,C 136 L 15,,4/29/2015,Takko
EHB 1422,af,Floral product businesses,C 168 L 15,,5/6/2015,Scott
ESHB 1424,af,Suicide prevention,C 249 L 15,,5/14/2015,Orwall
HB 1431,,Real estate appraisals,C 150 L 15,,5/1/2015,Bergquist
ESHB 1440,a,Cell site simulator devices,C 222 L 15,,5/11/2015,Taylor
SHB 1447,fd,Contractor fining by DES,C 44 L 15,,4/21/2015,Holy
2SHB 1448,af#,"Suicide threats, response to",C 158 L 16,,4/1/2016,Riccelli
ESHB 1449,afe#,Oil transportation safety,C 274 L 15,,5/14/2015,Farrell
E2SHB 1450,af#,Mental health/inv outpatient,C 250 L 15,,5/14/2015,Jinkins
E2SHB 1471,af,Health insurance contracting,C 251 L 15,,5/14/2015,Cody
SHB 1480,af#,Intermittent-use trailers,C 200 L 15,,5/8/2015,Holy
E2SHB 1485,af,Family medicine residencies,C 252 L 15,,5/14/2015,Haler
2E2SHB 1491,f#,Early care & education systm,C 7 L 15 E3,,7/6/2015,Kagi
