Name, Type, Contributions, Expenditures, Debt
15 NOW PAC, I, 0.00, 0.00, 0.00
4TH PLAIN 4 BRT, I, 0.00, 0.00, 0.00
A BETTER WA, O, 0.00, 0.00, 0.00
ACCOUNTABLE TO SPOKANE, O, 0.00, 0.00, 0.00
ACTIVE IN DEMOCRACY, U, 14219.73, 10754.92, 0.00
AFFORDABLE HOUSING COUNCIL OF THE CENTRAL WA HOME BUILDERS ASSN, B, 20383.18, 0.00, 0.00
AFFORDABLE HOUSING COUNCIL OF THE HBA OF KITSAP CO, B, 40936.67, 852.77, 0.00
AFRICAN AMERICAN PAC, O, 0.00, 0.00, 0.00
AGENTS OF CHANGE, O, 0.00, 0.00, 0.00
ALLIANCE FOR A COMPETITIVE ECONOMY OF GREATER SPOKANE INC, O, 6367.49, 0.00, 0.00
ALLIANCE FOR INTEGRITY, O, 0.00, 0.00, 0.00
ALLIANCE FOR JOBS & CLEAN ENERGY, O, 0.00, 0.00, 0.00
ALLIANCE OF WA DENTISTS PAC, I, 3221.95, 695.00, 0.00
AMALGAMATED TRANSIT UNION - COPE SPECIAL HOLDINGS ACCT, U, 0.00, 0.00, 0.00
AMERICAN FEDERATION OF TEACHERS WA COMM ON POLITICAL EDUCATION, U, 40905.98, 125.00, 0.00
AMERICAN INSTITUTE OF ARCHITECTS WA COUNCIL PAC, B, 3750.00, 0.00, 0.00
AMERICAN INSURANCE ASSN PAC WA, B, 0.00, 0.00, 0.00
ASIAN PACIFIC AMERICAN LABOR ALLIANCE SEATTLE PAC, O, 0.00, 0.00, 0.00
ASIAN PACIFIC ISLANDER AMERICANS FOR CIVIC EMPOWERMENT PAC, I, 0.00, 0.00, 0.00
ASSN OF INDEPENDENT CANDIDATES, O, 0.00, 0.00, 0.00
ASSN OF WA BUSINESS PAC, B, 111104.48, 1000.00, 0.00
ASSN OF WA SPIRITS & WINE DISTRIBUTORS PAC, B, 230570.69, 24.00, 0.00
ASSOC BUILDERS & CONTRACTORS OF WESTERN WA PAC, B, 66124.44, 0.00, 0.00
ASSOC GENERAL CONTRACTORS OF WA BUILD PAC, B, 312394.60, 66030.93, 0.00
BANNER BANK PAC, B, 910.00, 0.00, 0.00
BELLEVUE FIREFIGHTERS PAC, U, 42816.16, 93.54, 0.00
BIG I PAC, B, 3097.68, 759.00, 4000.00
BIPARTISAN LEADERSHIP FUND, O, 25241.78, 241.78, 0.00
BLACK PAC OF WA STATE, I, 0.00, 0.00, 0.00
BROADBAND COMMUNICATIONS ASSN OF WA PAC, B, 80784.43, 0.00, 0.00
BUILDING INDUSTRY ASSN OF CLARK CO BUILD THE VOTE, B, 90.51, 0.00, 0.00
BUILDING INDUSTRY ASSN OF CLARK CO BUILDING INDUSTRY GROUP, B, 78234.16, 23017.70, 0.00
BUILDING OWNERS & MANAGERS ASSN PAC OF WA, B, 24934.34, 75.00, 0.00
BUSINESS COALITION FOR SNOHOMISH CO, B, 0.00, 0.00, 0.00
CAMPAIGN FOR TRIBAL SELF RELIANCE BY WA INDIAN GAMING ASSN, I, 9399.93, 2450.00, 0.00
CASCADE BIKE PAC, I, 5090.00, 20.60, 0.00
CASCADE STRATEGY FUND, O, 0.00, 0.00, 0.00
CENTURY TRANSPORTATION COMPANY, O, 0.00, 0.00, 0.00
CENTURYLINK WA PAC, B, 76567.23, 27250.00, 0.00
CHANGE OLYMPIA, I, 0.00, 0.00, 0.00
CHANGEPAC, O, 0.00, 0.00, 0.00
CHILDRENS CAMPAIGN FUND, I, 23814.95, 4271.03, 0.00
CIT ALLIANCE FOR A LEGISLATIVE MAJORITY, O, 12620.74, 1000.00, 0.00
CIT ALLIANCE FOR PROPERTY RIGHTS PAC, I, 18593.66, 1704.00, 0.00
CIT FOR A BETTER KENT, O, 0.00, 0.00, 0.00
CIT FOR A BETTER PUYALLUP, I, 0.00, 0.00, 0.00
CIT FOR ACCOUNTABILITY, O, 0.00, 0.00, 0.00
CIT FOR BETTER GOVT CLARKSTON, I, 0.00, 0.00, 0.00
CIT FOR BETTER GOVT TACOMA, I, 49669.00, 12250.00, 0.00
CIT FOR FIRE DIST 45, I, 0.00, 0.00, 0.00
CIT FOR FIRE PROTECTION RAINIER & YELM, O, 0.00, 0.00, 0.00
CIT FOR HONEST GOVT PAC, I, 97083.01, 97004.40, 0.00
CIT FOR INTEGRITY IN GOVT, O, 0.00, 0.00, 0.00
CIT FOR JUDICIAL EXCELLENCE, I, 124415.52, 24233.91, 6844.41
CIT FOR PROGRESS ENTERPRISE WA, O, 27000.00, 117.00, 0.00
CIT FOR PUBLIC SAFETY BELFAIR, I, 0.00, 0.00, 0.00
CITY OF SEATAC FIREFIGHTERS-ACTIVE COMMUNITY ENDORSEMENT, U, 0.00, 0.00, 0.00
CIVIC ALLIANCE FOR A SOUND ECONOMY SPONSORED BY THE SEATTLE CHAMBER, I, 79281.82, 42649.39, 3875.00
CIVIL DEFENSE PAC - WA ST, O, 0.00, 0.00, 0.00
CLARK CO FOR BETTER GOVT, I, 0.00, 0.00, 0.00
CLARK CO IS NOT FOR SALE, I, 0.00, 0.00, 0.00
CLARKFORWARD, O, 0.00, 0.00, 0.00
COALITION FOR PUBLIC SAFETY - IAFF 1828, U, 0.00, 0.00, 0.00
COALITION FOR WA, I, 0.00, 0.00, 0.00
COCA-COLA NONPARTISAN PAC FOR GOOD GOVT, B, 0.00, 0.00, 0.00
COMM FOR FAIR TAXATION FROM KLICKITAT CO FIRE PROTECTION DIST 3, I, 0.00, 0.00, 0.00
COMM FOR TRANSPARENCY IN ELECTIONS, I, 0.00, 0.00, 0.00
COMM ON POLITICAL SUPPORT COPS, U, 5250.00, 0.00, 0.00
COMM TO KEEP WHITENER FOR JUDGE, O, 0.00, 0.00, 0.00
COMMON SENSE BAINBRIDGE, O, 0.00, 0.00, 0.00
COMMON SENSE SEA TAC, I, 0.00, 0.00, 0.00
COMMUNITY EMPLOYMENT ALLIANCE, O, 0.00, 0.00, 0.00
COMMUNITY LEADERSHIP PAC, O, 14783.99, 7380.00, 0.00
COMMUNITY PROGRESS, O, 0.00, 0.00, 0.00
CONCERNED RESIDENTS OF SOUTH BAY FIRE DIST, O, 0.00, 0.00, 0.00
CONNECTING CLARK CO, O, 100286.00, 0.00, 0.00
CONSERVATIVES FOR AN OPTIMISTIC FUTURE, O, 0.00, 0.00, 0.00
CONSUMER DATA INDUSTRY PAC, O, 0.00, 0.00, 0.00
CONSUMER FIREWORKS SAFETY ASSN PAC, B, 1629.87, 84.00, 0.00
CREDIT UNION LEG ACTION FUND, B, 267028.75, 27151.98, 0.00
CULTURAL ACCESS WASHINGTON, O, 249152.98, 111720.87, 14004.24
CULTURE PAC, O, 12106.51, 5802.01, 0.00
DEMOCRAT REPUBLICAN INDEPENDENT VOTER EDUCATION, I, 0.00, 0.00, 0.00
DEMOCRATS FOR EDUCATION REFORM WA PAC, I, 157649.69, 22120.40, 321.50
EASTERN WA VOTERS, I, 3409.04, 2733.14, 0.00
EASTERN WASHINGTON PAC, O, 421.05, 0.00, 2200.00
EASTSIDE BUSINESS ALLIANCE, B, 0.00, 0.00, 0.00
EASTSIDE LEADERSHIP COMM, I, 0.00, 0.00, 0.00
EASTSIDE PROGRESS, I, 425.24, 400.00, 0.00
ECONOMIC VITALITY PAC, I, 0.00, 0.00, 0.00
EDUCATION VOTERS POLITICAL ACTION FUND, I, 1899.11, 248.05, 0.00
EFFECTIVE SELF-GOVERNANCE ASSN OF THURSTON CO, O, 0.00, 0.00, 0.00
ELECTRICAL WORKERS PAC 46, U, 14312.01, 5500.00, 0.00
EMPLOYMENT FOR ALL, I, 0.00, 0.00, 0.00
ENTERPRISE WA JOBSPAC, O, 137213.81, 14059.64, 0.00
ENVISION SEATTLE, O, 0.00, 0.00, 0.00
EQUAL RIGHTS WA PAC, I, 0.00, 0.00, 0.00
EQUALITY SPOKANE, I, 0.00, 0.00, 0.00
