Name, Party, Contributions, Expenditures, Debt
ADAMS CO DEMOCRATS, D, 0.00, 0.00, 0.00
ASOTIN CO DEMO CENT COMM NON EXEMPT, D, 0.00, 0.00, 0.00
ASOTIN CO REPUB PARTY NON EXEMPT, R, 0.00, 0.00, 0.00
BENTON CO DEMO CENT COMM EXEMPT, D, 0.00, 0.00, 0.00
BENTON CO DEMO CENT COMM NON EXEMPT, D, 33402.04, 12356.14, 0.00
BENTON CO REPUB CENT COMM EXEMPT, R, 0.00, 0.00, 0.00
BENTON CO REPUB CENT COMM NON EXEMPT, R, 60402.09, 26494.05, 0.00
CAMANO ISLAND DEMOCRATS, D, 0.00, 0.00, 0.00
CHELAN CO REPUB CENT COMM, R, 0.00, 0.00, 0.00
CLALLAM CO DEMOS & CENT COMM EXEMPT, D, 11365.46, 7714.26, 0.00
CLALLAM CO DEMOS & CENT COMM NON EXEMPT, D, 8876.86, 0.00, 0.00
CLALLAM CO REPUB CENTRAL COMM NON EXEMPT, R, 35258.31, 12128.05, 0.00
CLARK CO DEMO CENT COMM EXEMPT, D, 26293.10, 0.00, 0.00
CLARK CO DEMO CENT COMM NON EXEMPT, D, 65844.35, 18372.43, 0.00
CLARK CO REPUB CENT COMM EXEMPT, R, 1307.93, 355.93, 0.00
CLARK CO REPUB CENT COMM NON EXEMPT, R, 62776.68, 47189.68, 0.00
COLUMBIA CO DEMO CENT COMM, D, 0.00, 0.00, 0.00
COWLITZ CO DEMO CENT COMM NON EXEMPT, D, 5277.84, 2639.07, 0.00
COWLITZ CO REPUB CENT COMM NON EXEMPT, R, 46738.75, 23961.33, 0.00
DEMOCRATS OF CHELAN CO NON EXEMPT, D, 0.00, 0.00, 0.00
DOUGLAS CO DEMO CENT COMM NON EXEMPT, D, 0.00, 0.00, 0.00
DOUGLAS CO REPUB CENT COMM NON EXEMPT, R, 0.00, 0.00, 0.00
FERRY CO REPUB CENT COMM NON EXEMPT, R, 0.00, 0.00, 0.00
FRANKLIN CO DEMO CENT COMM NON EXEMPT, D, 0.00, 0.00, 0.00
FRANKLIN CO REPUB CENT COMM NON EXEMPT, R, 80042.66, 32620.85, 0.00
GRANT CO DEMO CENT COMM NON EXEMPT, D, 0.00, 0.00, 0.00
GRANT CO REPUB CENT COMM NON EXEMPT, R, 0.00, 0.00, 0.00
GRAYS HARBOR CO DEMO CENT COMM NON EXEMPT, D, 14910.47, 2813.92, 0.00
GRAYS HARBOR CO REPUB EXEMPT, R, 219.49, 0.00, 0.00
GRAYS HARBOR CO REPUB NON EXEMPT, R, 4585.02, 1153.17, 0.00
ISLAND CO DEMO CENT COMM NON EXEMPT, D, 0.00, 0.00, 0.00
ISLAND CO REPUB CENT COMM EXEMPT, R, 0.00, 0.00, 0.00
ISLAND CO REPUB CENT COMM NON EXEMPT, R, 13719.43, 7107.44, 0.00
JEFFERSON CO DEMOS & CENT COMM NON EXEMPT, D, 43679.14, 7117.91, 0.00
JEFFERSON CO REPUB CENT COMM NON EXEMPT, R, 18602.44, 4026.15, 0.00
KING CO DEMO CENT COMM NON EXEMPT, D, 12964.54, 8792.01, 0.00
KING CO REPUB CENT COMM EXEMPT, R, 183492.78, 117385.19, 0.00
KING CO REPUB CENT COMM NON EXEMPT, R, 202928.13, 107360.94, 0.00
KITSAP CO DEMO CENT COMM NON EXEMPT, D, 41297.33, 22490.51, 0.00
KITSAP CO REPUB PARTY NON EXEMPT, R, 120993.38, 15574.26, 0.00
KITTITAS CO DEMO CENT COMM NON EXEMPT, D, 5998.60, 2263.43, 0.00
KITTITAS CO REPUB PARTY NON EXEMPT, R, 11766.76, 1808.33, 0.00
KLICKITAT CO DEMO CENT COMM NON EXEMPT, D, 0.00, 0.00, 0.00
KLICKITAT CO REPUB CENT COMM EXEMPT ACCT, R, 0.00, 0.00, 0.00
KLICKITAT CO REPUB CENT COMM NON EXEMPT, R, 0.00, 0.00, 0.00
LEWIS CO DEMO CENT COMM EXEMPT, D, 0.00, 0.00, 0.00
LEWIS CO DEMO CENT COMM NON EXEMPT, D, 0.00, 0.00, 0.00
LEWIS CO REPUB CENT COMM HEADQUARTERS, R, 58.69, 0.00, 0.00
LEWIS CO REPUB CENT COMM NON EXEMPT, R, 15463.87, 10989.71, 0.00
LINCOLN CO DEMO CENT COMM NON EXEMPT, D, 0.00, 0.00, 0.00
LINCOLN CO REPUB CENT COMM NON EXEMPT, R, 4042.81, 1027.77, 0.00
MASON CO DEMO CENT COMM NON EXEMPT, D, 11731.52, 2234.61, 0.00
MASON CO REPUB CENT COMM NON EXEMPT, R, 11730.09, 5152.19, 0.00
PACIFIC CO DEMO CENT COMM NON EXEMPT, D, 33680.63, 9861.26, 0.00
PACIFIC CO REPUB PARTY NON EXEMPT, R, 10664.13, 5177.21, 0.00
PEND OREILLE CO DEMO CENT COMM NON EXEMPT, D, 0.00, 0.00, 0.00
PEND OREILLE CO REPUB CENT COMM NON EXEMPT, R, 0.00, 0.00, 0.00
PIERCE CO DEMO CENT COMM EXEMPT, D, 0.00, 0.00, 0.00
PIERCE CO DEMO CENT COMM NON EXEMPT, D, 66827.67, 63910.17, 0.00
PIERCE CO REPUB CENT COMM EXEMPT, R, 0.00, 0.00, 0.00
PIERCE CO REPUB CENT COMM NON EXEMPT, R, 77653.19, 51582.29, 0.00
SAN JUAN CO DEMO CENT COMM NON EXEMPT, D, 15655.66, 0.00, 0.00
SAN JUAN CO REPUB CENT COMM EXEMPT, R, 12192.35, 3045.46, 0.00
SAN JUAN CO REPUB CENT COMM NON EXEMPT, R, 0.00, 0.00, 0.00
SKAGIT CO DEMO CENT COMM NON EXEMPT, D, 74666.55, 20879.14, 0.00
SKAGIT CO REPUB PARTY NON EXEMPT, R, 35200.56, 20105.24, 0.00
SKAMANIA CO DEMO CENT COMM, D, 0.00, 0.00, 0.00
SKAMANIA CO REPUB CENT COMM NON EXEMPT, R, 0.00, 0.00, 0.00
SNOHOMISH CO DEMO CENT COMM NON EXEMPT, D, 11256.21, 7095.50, 0.00
SNOHOMISH CO REPUB CENT COMM EXEMPT, R, 0.00, 0.00, 0.00
SNOHOMISH CO REPUB CENT COMM NON EXEMPT, R, 115120.11, 72069.31, 0.00
SPOKANE CO DEMO CENT COMM EXEMPT, D, 0.00, 0.00, 0.00
SPOKANE CO DEMO CENT COMM NON EXEMPT, D, 0.00, 0.00, 0.00
SPOKANE CO REPUB CENT COMM NON EXEMPT, R, 102305.13, 46851.94, 0.00
STEVENS CO DEMO CENT COMM NON EXEMPT, D, 2070.82, 207.32, 0.00
STEVENS CO REPUB CENT COMM NON EXEMPT, R, 39399.93, 13776.98, 0.00
THURSTON CO DEMO CENT COMM NON EXEMPT, D, 66032.76, 38560.69, 0.00
THURSTON CO REPUB CENT COMM NON EXEMPT, R, 29562.22, 15537.25, 0.00
WAHKIAKUM CO DEMO CENT COMM NON EXEMPT, D, 0.00, 0.00, 0.00
WALLA WALLA CO DEMO CENT COMM, D, 0.00, 0.00, 0.00
WALLA WALLA CO REPUB CENT COMM NON EXEMPT, R, 24859.40, 3037.49, 0.00
WHATCOM CO DEMO CENT COMM EXEMPT, D, 0.00, 0.00, 0.00
WHATCOM CO DEMO CENT COMM NON EXEMPT, D, 53657.72, 31988.77, 0.00
WHATCOM CO REPUB PARTY EXEMPT, R, 1681.54, 1390.51, 0.00
WHATCOM CO REPUB PARTY NON EXEMPT, R, 83516.05, 40541.46, 1280.00
WHITMAN CO DEMO CENT COMM EXEMPT, D, 0.00, 0.00, 0.00
WHITMAN CO DEMO CENT COMM NON EXEMPT, D, 0.00, 0.00, 0.00
WHITMAN CO REPUB CENT COMM NON EXEMPT, R, 7449.27, 2419.59, 0.00
YAKIMA CO DEMO CENT COMM NON EXEMPT, D, 25757.34, 13904.87, 0.00
YAKIMA CO REPUB CENT COMM EXEMPT, R, 253.14, 0.00, 0.00
YAKIMA CO REPUB CENT COMM NON EXEMPT, R, 23806.14, 13824.24, 0.00
