 ,Total Compensation, Total Expenses, Total Contributions, Totals
 , 92621.00, 1350.00, 830483.89, 924454.89

Name, Compensation, Expenses, Contributions, Totals
3M CO, 0.00, 0.00, 0.00, 0.00
4000 PROPERTY LLC, 0.00, 0.00, 0.00, 0.00
4CULTURE, 0.00, 0.00, 0.00, 0.00
7-ELEVEN INC, 0.00, 0.00, 0.00, 0.00
AAA WASHINGTON, 0.00, 0.00, 0.00, 0.00
AARP WA ST OFFICE, 0.00, 0.00, 0.00, 0.00
ABATE OF WA, 0.00, 0.00, 0.00, 0.00
ABBOTT LABORATORIES, 0.00, 0.00, 0.00, 0.00
ABBVIE INC, 0.00, 0.00, 0.00, 0.00
ACCREDITATION ASSN FOR AMBULATORY HEALTH CARE, 0.00, 0.00, 0.00, 0.00
ACE METALS CORP, 0.00, 0.00, 0.00, 0.00
ACT INC, 0.00, 0.00, 0.00, 0.00
ACTION FOR RHC'S, 0.00, 0.00, 0.00, 0.00
ADULT FAMILY HOME COUNCIL, 0.00, 0.00, 0.00, 0.00
ADVANCE AMERICA (THRU MULTISTATE), 0.00, 0.00, 0.00, 0.00
ADVANCED MEDICAL TECHNOLOGY ASSN, 0.00, 0.00, 0.00, 0.00
ADVOCATES INC*, 0.00, 0.00, 0.00, 0.00
AEQUUS CORPORATION*, 0.00, 0.00, 0.00, 0.00
AEROSPACE FUTURES ALLIANCE OF WASHINGTON LTD, 0.00, 0.00, 0.00, 0.00
AETNA, 0.00, 0.00, 0.00, 0.00
AFLAC, 0.00, 0.00, 0.00, 0.00
AFT WASHINGTON, 0.00, 0.00, 0.00, 0.00
AGRI BEEF CO, 0.00, 0.00, 0.00, 0.00
AHNE PLLC*, 0.00, 0.00, 0.00, 0.00
ALASKA AIRLINES, 0.00, 0.00, 20100.00, 20100.00
ALCOA US PRIMARY METALS INTALCO ALUMINUM CORP, 0.00, 0.00, 0.00, 0.00
ALIGNED AG DISTRIBUTORS LLC, 0.00, 0.00, 0.00, 0.00
ALKERMES PLC, 0.00, 0.00, 0.00, 0.00
ALL ABOARD WASHINGTON, 0.00, 0.00, 0.00, 0.00
ALLERGAN USA INC, 0.00, 0.00, 0.00, 0.00
ALLIANCE FOR GUN RESPONSIBILITY, 0.00, 0.00, 0.00, 0.00
ALLIANCE FOR MARINE MAMMAL PARKS & AQUARIUM-KATHLEEN DEZI, 0.00, 0.00, 0.00, 0.00
ALLIANCE OF AUTO MANUFACTURERS, 0.00, 0.00, 0.00, 0.00
ALLIANCES NORTHWEST*, 0.00, 0.00, 0.00, 0.00
ALLIED DAILY NEWSPAPERS OF WA, 0.00, 0.00, 0.00, 0.00
ALLSTATE INSURANCE CO, 0.00, 0.00, 0.00, 0.00
ALTRIA CLIENT SERVICES LLC & ITS AFFILIATES, 0.00, 0.00, 0.00, 0.00
ALZHEIMERS ASSN WA ST CHAPTER, 0.00, 0.00, 0.00, 0.00
AMALGAMATED TRANSIT UNION LEG COUNCIL, 0.00, 0.00, 12000.00, 12000.00
AMAYA GAMING, 0.00, 0.00, 0.00, 0.00
AMAZON.COM, 0.00, 0.00, 0.00, 0.00
AMBER CARTER GOVT RELATIONS LLC*, 0.00, 0.00, 0.00, 0.00
AMBER D LEWIS CONSULTING LLC*, 0.00, 0.00, 0.00, 0.00
AMERESCO QUANTUM, 0.00, 0.00, 950.00, 950.00
AMERICAN ACADEMY OF PEDIATRICS-WA CHAPTER, 0.00, 0.00, 0.00, 0.00
AMERICAN ASSN OF UNIVERSITY WOMEN OF WA, 0.00, 0.00, 0.00, 0.00
AMERICAN CANADIAN FISHERIES, 0.00, 0.00, 0.00, 0.00
AMERICAN CANCER SOCIETY CANCER ACTION NETWORK, 0.00, 0.00, 0.00, 0.00
AMERICAN CENTER FOR CIVIL LIBERTIES, 0.00, 0.00, 0.00, 0.00
AMERICAN CHEMISTRY COUNCIL, 0.00, 0.00, 0.00, 0.00
AMERICAN CIVIL LIBERTIES UNION OF WA, 0.00, 0.00, 8252.80, 8252.80
AMERICAN COATINGS ASSN, 0.00, 0.00, 0.00, 0.00
AMERICAN COLLEGE EMERGENCY PHYSICIANS WA CHAPTER, 0.00, 0.00, 0.00, 0.00
AMERICAN CONGRESS OF OBSTETRICIANS AND GYNECOLOGISTS, 0.00, 0.00, 0.00, 0.00
AMERICAN COUNCIL OF ENGINEERING COMPANIES OF WA, 0.00, 0.00, 0.00, 0.00
AMERICAN COUNCIL OF LIFE INSURERS, 0.00, 0.00, 0.00, 0.00
AMERICAN DEALER LICENSE INC, 0.00, 0.00, 0.00, 0.00
AMERICAN EXPRESS CO, 0.00, 0.00, 0.00, 0.00
AMERICAN FAMILY INSURANCE, 0.00, 0.00, 0.00, 0.00
AMERICAN FIRE SPRINKLER ASSN, 0.00, 0.00, 0.00, 0.00
AMERICAN FOREST & PAPER ASSN, 0.00, 0.00, 0.00, 0.00
AMERICAN FOREST RESOURCE CNCL, 0.00, 0.00, 0.00, 0.00
AMERICAN HEART ASSN, 0.00, 0.00, 0.00, 0.00
AMERICAN INSTITUTE OF ARCHITECTS WA COUNCIL, 0.00, 0.00, 0.00, 0.00
AMERICAN INSURANCE ASSN, 0.00, 0.00, 0.00, 0.00
AMERICAN INTERNATIONAL GROUP INC, 0.00, 0.00, 0.00, 0.00
AMERICAN LUNG ASSN OF THE MOUNTAIN PACIFIC, 0.00, 0.00, 0.00, 0.00
AMERICAN MASSAGE THERAPY ASSN- WA CHAPTER, 0.00, 0.00, 0.00, 0.00
AMERICAN MEDICAL RESPONSE, 0.00, 0.00, 0.00, 0.00
AMERICAN PLANNING ASSN WA CHAPTER, 0.00, 0.00, 0.00, 0.00
AMERICAN PROGRESSIVE BAG ALLIANCE/SPI, 0.00, 0.00, 0.00, 0.00
AMERICAN PUBLIC WORKS ASSN, 0.00, 0.00, 0.00, 0.00
AMERICAN SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS, 0.00, 0.00, 0.00, 0.00
AMERICAN SOCIETY OF COMPOSERS;AUTHORS;& PUBLISHERS, 0.00, 0.00, 0.00, 0.00
AMERICAN TRAFFIC SOLUTIONS INC, 0.00, 0.00, 0.00, 0.00
AMERICAN WATERWAYS OPERATORS, 0.00, 0.00, 0.00, 0.00
AMERICAN WOOD COUNCIL, 0.00, 0.00, 0.00, 0.00
AMERICAS HEALTH INSURANCE PLANS, 0.00, 0.00, 0.00, 0.00
AMERIHEALTH CARITAS, 0.00, 0.00, 0.00, 0.00
AMGEN INC, 0.00, 0.00, 0.00, 0.00
ANHEUSER-BUSCH COMPANIES INC, 0.00, 0.00, 0.00, 0.00
ANTHEM INC & ITS AFFILIATES, 0.00, 0.00, 0.00, 0.00
ANTI SMOKING ALLIANCE DBA PINK LUNG BRIGADE, 0.00, 0.00, 0.00, 0.00
APOLLO EDUCATION GROUP INC, 0.00, 0.00, 0.00, 0.00
APPLE INC, 0.00, 0.00, 0.00, 0.00
APPLUS TECHNOLOGIES (THRU MULTISATE), 0.00, 0.00, 0.00, 0.00
APPRAISERS COALITION OF WA, 0.00, 0.00, 0.00, 0.00
APPRISS INC, 0.00, 0.00, 0.00, 0.00
ARBAUGH DAVIC C, 0.00, 0.00, 0.00, 0.00
ARC OF KING CO, 0.00, 0.00, 0.00, 0.00
ARC OF SNOHOMISH CO, 0.00, 0.00, 0.00, 0.00
ARC OF SPOKANE, 0.00, 0.00, 0.00, 0.00
ARC OF WA ST, 0.00, 0.00, 0.00, 0.00
ARCHITECTS & ENGINEERS LEGIS COUNCIL, 0.00, 0.00, 0.00, 0.00
ARMSTRONG & ASSOC*, 0.00, 0.00, 0.00, 0.00
ARNPS UNITED OF WA ST, 0.00, 0.00, 0.00, 0.00
ARROW LAUNCH SERVICES INC, 0.00, 0.00, 0.00, 0.00
ARTHRITIS FOUNDATION GREAT WEST REGION, 0.00, 0.00, 0.00, 0.00
ARTIZEN GROUP LLC, 0.00, 0.00, 0.00, 0.00
ARTSFUND, 0.00, 0.00, 0.00, 0.00
ARZU FOROUGH, 0.00, 0.00, 0.00, 0.00
ASH GROVE CEMENT CO, 0.00, 0.00, 0.00, 0.00
ASSISTED LIVING FEDERATION OF AMERICA, 0.00, 0.00, 0.00, 0.00
ASSN FOR MEDICAL CANNABIS REFORM, 0.00, 0.00, 0.00, 0.00
ASSN OF ADV PRACTICE PSYCHIATRIC NURSES, 0.00, 0.00, 0.00, 0.00
ASSN OF ALCOHOLISM & ADDICTIONS PROGRAMS, 0.00, 0.00, 0.00, 0.00
ASSN OF AMERICAN PUBLISHERS, 0.00, 0.00, 0.00, 0.00
ASSN OF DENTAL SUPPORT ORGANIZATIONS, 0.00, 0.00, 0.00, 0.00
ASSN OF SURGICAL TECHNOLOGISTS, 0.00, 0.00, 0.00, 0.00
ASSN OF WA AERIAL APPLICATORS, 0.00, 0.00, 0.00, 0.00
ASSN OF WA BUSINESS, 0.00, 0.00, 0.00, 0.00
ASSN OF WA CITIES, 0.00, 0.00, 0.00, 0.00
ASSN OF WA HEALTHCARE PLANS, 0.00, 0.00, 0.00, 0.00
ASSN OF WA HOUSING AUTHORITIES, 0.00, 0.00, 0.00, 0.00
ASSN OF WA PUBLIC HOSPITAL DISTRICTS, 0.00, 0.00, 0.00, 0.00
ASSN OF WA SCHOOL PRINCIPALS, 0.00, 0.00, 0.00, 0.00
ASSN OF WA SPIRITS & WINE DISTRIBUTORS, 0.00, 0.00, 0.00, 0.00
ASSN OF WA ST PUBLIC FACILITIES DISTS, 0.00, 0.00, 0.00, 0.00
ASSOC STUDENTS OF EASTERN WA UNIVERSITY, 0.00, 0.00, 0.00, 0.00
ASSOC STUDENTS OF UNIV OF WA, 11293.00, 0.00, 0.00, 11293.00
ASSOC STUDENTS OF WA ST UNIVERSITY, 0.00, 0.00, 0.00, 0.00
