 , Total Compensation, Total Personal Expenses, Total Entertainment, Total Contributions, Total Advertising, Total Political Ads, Total Other Expenses, Totals
 , 42733162.23, 883878.41, 511544.85, 5607943.43, 89933.03, 1373515.30, 2281722.63, 53350548.61

Name, Compensation, Personal Expenses, Entertainment, Contributions, Advertising, Political Ads, Other Expenses, Total
ABBETT RIC, 17500.00, 135.15, 0.00, 0.00, 0.00, 0.00, 0.00, 17635.15
ABBOTT ROBERT, 6664.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6664.32
ABRAMS & ASSOC LLC*, 36580.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 36580.00
ABRAMS-CARAS RANDI, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ADDAE OLGA, 1805.98, 0.00, 0.00, 0.00, 0.00, 0.00, 390.48, 2196.46
ADVOCATES INC*, 189351.02, 226.25, 612.50, 0.00, 0.00, 0.00, 0.00, 190189.77
AEQUUS CORPORATION*, 315792.00, 0.00, 3755.25, 0.00, 0.00, 0.00, 0.00, 318385.41
AHNE PLLC*, 60000.00, 1523.76, 0.00, 0.00, 0.00, 0.00, 0.00, 61523.76
AL-MONDHIRY REND, 7500.00, 1000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8500.00
ALDRICH ALLEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ALDRICH STEVEN, 9020.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9020.00
ALKIRE WILLIAM, 289365.00, 0.00, 507.00, 1300.00, 0.00, 0.00, 3038.00, 294210.00
ALLEN GEORGE, 2178.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2178.00
ALLEN JENNIFER, 20865.27, 459.89, 225.75, 200.00, 8125.71, 56654.04, 0.00, 86530.66
ALLEN MARK, 36000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 36000.00
ALLEN NICHOLAS, 1592.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1592.30
ALLIANCES NORTHWEST*, 708220.00, 28300.46, 16954.59, 0.00, 0.00, 0.00, 12020.50, 766853.37
ALLIED COMMUNICATION STRATEGIES*, 31848.50, 0.00, 609.37, 0.00, 0.00, 0.00, 0.00, 32457.87
AMMANN NICK, 370.00, 2991.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3361.00
ANDERSON SAMUEL, 6000.00, 0.00, 0.00, 131592.00, 0.00, 0.00, 0.00, 137592.00
ARAGON SOFIA, 31177.06, 4466.15, 0.00, 0.00, 0.00, 0.00, 0.00, 35643.21
ARBAUGH DAVID, 286895.14, 5449.97, 911.75, 0.00, 0.00, 0.00, 0.00, 293256.86
ARGO STRATEGIES*, 17500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17500.00
ARJUN ELIZABETH, 300.00, 0.00, 0.00, 0.00, 0.00, 10418.56, 0.00, 10718.56
ARLEDGE CODY, 140400.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 140400.00
ARLOW JOANNA, 11017.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 11017.90
ARNONE KYM, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ASHE SUSAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ASHE PUBLIC AFFAIRS*, 750.00, 680.68, 0.00, 0.00, 0.00, 0.00, 0.00, 1430.68
ATWOOD NANCY, 25650.00, 0.00, 601.54, 0.00, 0.00, 0.00, 0.00, 26251.54
AUDLEY JOHN, 1396.55, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1396.55
AUERBACH NINA, 3131.85, 261.50, 0.00, 0.00, 0.00, 0.00, 0.00, 3393.35
AUGUSTINE STACY, 24000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 24000.00
AULTMAN JOHN, 1000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1000.00
AVERY JANIS, 2802.97, 1287.95, 0.00, 0.00, 0.00, 0.00, 0.00, 4091.02
AYON MAURICIO, 1953.00, 2349.61, 0.00, 0.00, 4140.30, 0.00, 597.30, 9040.21
BABER KATE, 3433.77, 1290.59, 0.00, 0.00, 0.00, 0.00, 0.00, 4724.36
BACA BERNAL, 8262.19, 3978.23, 580.65, 0.00, 0.00, 0.00, 0.00, 12821.04
BAFIA GLENN, 1806.04, 61.20, 0.00, 2500.00, 0.00, 0.00, 0.00, 4367.24
BAILEY MELISSA, 361.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 361.50
BAINBRIDGE MEDIA GROUP INC*, 50000.00, 6900.00, 0.00, 0.00, 0.00, 0.00, 0.00, 56900.00
BAKER MELINDA, 10143.00, 5830.73, 0.00, 10000.00, 0.00, 0.00, 0.00, 25973.73
BALLHORN SETH, 3414.00, 3033.60, 0.00, 0.00, 0.00, 0.00, 0.00, 6447.60
BANDOLI CHRISTOPHER, 23500.00, 5707.95, 410.72, 79563.00, 0.00, 0.00, 0.00, 109541.67
BANKS BRAD, 540.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 540.90
BARNES COURTNEY, 8016.67, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8016.67
BARRETTE MARGARET, 3900.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3900.00
BAXTER GORDON, 88500.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 88500.09
BAY STEVEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BEANE ANDREW, 599.49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 599.49
BEARDSLEY GERI, 8500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8500.00
BEAVER NEIL, 13000.00, 600.00, 0.00, 0.00, 0.00, 0.00, 400.00, 8500.00
BECK CHARLES, 7200.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 7200.00
BECK ELIZABETH, 1119.95, 258.49, 0.00, 0.00, 0.00, 0.00, 4669.10, 6047.54
BECK KELSEY, 6780.77, 3534.10, 0.00, 0.00, 0.00, 0.00, 0.00, 10314.87
BECKETT BRUCE, 94550.00, 1513.48, 11221.53, 81815.00, 0.00, 0.00, 0.00, 189100.01
BEDNAR-BUTLER LISA, 8926.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8926.19
BELL AMY, 96000.00, 610.96, 2762.07, 0.00, 0.00, 0.00, 0.00, 99372.93
BENDER JERRY, 38976.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 38976.00
BENDOKAS TIM, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BENJAMIN CRAIG, 500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 500.00
BENSON-HALLOCK ERICA, 7550.00, 0.00, 0.00, 75.00, 0.00, 0.00, 0.00, 7625.00
BENTLER T K, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BENZ PAUL, 4004.72, 2822.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6826.72
BERENDT PAUL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BERG-FOSNAUGH ROSE, 1762.51, 263.78, 0.00, 0.00, 0.00, 0.00, 0.00, 2026.29
BERGLUND TROY, 1226.67, 223.22, 871.44, 0.00, 0.00, 0.00, 0.00, 2321.33
BIANCHI TERA, 296.00, 122.40, 0.00, 0.00, 0.00, 0.00, 0.00, 418.40
BIELINSKI LORI, 71500.00, 0.00, 4477.82, 39010.84, 0.00, 0.00, 0.00, 114988.66
BINDAS MICHAEL, 145.59, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 145.59
BLACK HELEN, 280.59, 732.97, 0.00, 0.00, 0.00, 0.00, 0.00, 1013.56
BOCK CANDICE, 1955.18, 0.00, 41.68, 0.00, 0.00, 0.00, 0.00, 1996.86
BOE SIMONE, 311.34, 0.00, 0.00, 31161.57, 0.00, 0.00, 0.00, 31472.91
BOGARD REBECCA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOGARD & JOHNSON LLC*, 767677.00, 10183.83, 1972.54, 0.00, 0.00, 0.00, 53200.00, 832831.37
BOGATAY MIKE, 8499.99, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8499.99
BOOTH CHARLOTTE, 504.79, 117.90, 0.00, 0.00, 0.00, 0.00, 0.00, 622.69
BOSS PATRICK, 76000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 76000.00
BOSWELL BRAD, 376826.00, 10995.60, 4139.29, 0.00, 0.00, 0.00, 0.00, 352628.89
BOWEN WALT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOWMAN STAN, 6999.96, 0.00, 0.00, 500.00, 1084.20, 0.00, 0.00, 8584.16
BOYAJIAN MOLLY, 2254.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1211.46
BOYD TIMOTHY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOYER VIOLET, 30544.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 30544.00
BRACKENBURY AMY, 35063.26, 1700.51, 558.80, 45600.00, 0.00, 0.00, 0.00, 82922.57
BRANNAN DIANNA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BREAUX STEVE, 8292.56, 2088.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10280.56
BRETT ROBERT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BRICKER J, 132768.00, 250.57, 1345.97, 64370.00, 0.00, 0.00, 0.00, 198734.54
BRILEY TAYA, 415.75, 60.00, 0.00, 0.00, 0.00, 0.00, 0.00, 475.75
BROD BROOKE, 1073.58, 39.22, 0.00, 0.00, 0.00, 0.00, 0.00, 1112.80
BROWN CHARLES, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BROWN LARRY, 22284.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 22284.00
BROWN MARK, 213250.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 213250.00
BROWN MICHAEL, 20900.00, 0.00, 0.00, 700.00, 0.00, 0.00, 0.00, 21600.00
BRUMBACH JON, 596.14, 312.00, 0.00, 0.00, 0.00, 0.00, 0.00, 908.14
BRUNELL DON, 25516.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 25516.70
BRYANT ANNE, 48000.00, 0.00, 0.00, 18300.00, 0.00, 0.00, 5750.00, 72050.00
BUCHAN ARAN, 27050.04, 3415.25, 405.00, 0.00, 0.00, 0.00, 0.00, 30870.29
