Name, Party, Contributions, Expenditures, Debt
6TH CONGRESSIONAL DIST REPUB COMM, R, 0.00, 0.00, 0.00
BERTHA LANDES FUND A PAC OF THE WA FED OF REPUB WOMEN, R, 0.00, 0.00, 0.00
CLARK CO DEMO WOMEN, D, 0.00, 0.00, 0.00
COWLITZ CO DEMO WOMEN, D, 6941.88, 2339.10, 0.00
DEMOCRATIC CLUB OF COWLITZ CO, D, 0.00, 0.00, 0.00
EASTSIDE DEMO DINNER COMM, D, 0.00, 0.00, 0.00
EASTSIDE DEMOCRATIC WOMEN, D, 0.00, 0.00, 0.00
EASTSIDE REPUB CLUB ST PAC, R, 0.00, 0.00, 0.00
EVERGREEN REPUB WOMENS CLUB PAC, R, 0.00, 0.00, 0.00
GORDON THOMAS HONEYWELL CASCADE FUND, R, 115.98, 0.00, 0.00
GORDON THOMAS HONEYWELL OLYMPIC FUND, D, 11.55, 0.00, 0.00
JANE CODY DEMO WOMENS CLUB, D, 0.00, 0.00, 0.00
KENNEDY FUND, D, 528122.86, 181976.89, 19353.19
KING CO YOUNG DEMOS, D, 0.00, 0.00, 0.00
KITSAP COUNTY DEMOCRATIC WOMEN PAC, D, 5707.03, 332.91, 0.00
LAKEWOOD REPUB WOMEN, R, 4448.68, 100.00, 0.00
LEWIS CO REPUB CLUB, R, 0.00, 0.00, 0.00
LOG CABIN REPUB PAC, R, 0.00, 0.00, 0.00
LOWER COLUMBIA REPUBLICANS UNITED, R, 8235.08, 2638.93, 0.00
MAINSTREAM REPUB OF WA FEDERAL PAC, R, 0.00, 0.00, 0.00
MAINSTREAM REPUB OF WA ST PAC, R, 56407.36, 16815.12, 0.00
MASON CO REPUB WOMENS CLUB, R, 0.00, 0.00, 0.00
MAY ARKWRIGHT HUTTON CHAPTER OF THE FEDERATION OF DEMOCRATIC WOMEN, D, 0.00, 0.00, 0.00
NORTH KITSAP REPUB WOMEN, R, 0.00, 0.00, 0.00
NORTH SOUND DEMO CLUB, D, 0.00, 0.00, 0.00
PIERCE CO YOUNG DEMOCRATS, D, 0.00, 0.00, 0.00
PONDEROSA REPUB WOMEN, R, 0.00, 0.00, 0.00
REPUB ST LEADERSHIP COMM WA PAC, R, 0.00, 0.00, 0.00
REPUBLICAN LIBERTY CAUCUS WA - SPOKANE, R, 0.00, 0.00, 0.00
REPUBLICANS OF SPOKANE CO 1 PAC, R, 0.00, 0.00, 0.00
REPUBS OF CLARK CO, R, 14425.29, 10365.73, 0.00
REPUBS OF ISLAND CO, R, 0.00, 0.00, 0.00
SNOHOMISH CO GOP LEADERS FUND, R, 0.00, 0.00, 0.00
SNOHOMISH CO REPUB WOMENS CLUB, R, 0.00, 0.00, 0.00
SOUTH KING CO DEMOCRATS, D, 0.00, 0.00, 0.00
SOUTH KITSAP REPUB WOMEN, R, 0.00, 0.00, 0.00
THE REPUB CLUB, R, 2951.92, 1909.84, 0.00
TRI-CITIES REPUB WOMENS CLUB, R, 0.00, 0.00, 0.00
TRI-CITY DEMOCRATS, D, 0.00, 0.00, 0.00
VIRGINIA TAYLOR 27TH DIST REPUB CLUB, R, 0.00, 0.00, 0.00
WA ST 13TH LEG DIST DEMO CAUCUS, D, 0.00, 0.00, 0.00
WA ST FEDERATION OF DEMO WOMEN, D, 1942.57, 336.00, 0.00
WA ST STONEWALL DEMOS, D, 0.00, 0.00, 0.00
WARREN G MAGNUSON DEMO CLUB, D, 0.00, 0.00, 0.00
WEST SKAGIT CO REPUB WOMENS CLUB, R, 0.00, 0.00, 0.00
WHATCOM CO DEMO WOMENS CLUB, D, 3264.49, 1351.32, 0.00
WHATCOM CO YOUNG DEMOCRATS, D, 0.00, 0.00, 0.00
YOUNG DEMOCRATS OF COWLITZ CO, D, 0.00, 0.00, 0.00
