Agency, Contractor, Date, Amount, Purpose
BENTON PUD 01- ELEC, AEQUUS CONSULTING, 3/31/2016, 4500.00, ISSUES AND BILLS RELATED TO THE ENERGY INDEPENDENCE ACT AND OTHER PUBLIC POWER UTILITY ISSUES
BENTON PUD 01- ELEC, HANSON; DAVID W, 3/31/2016, 4200.00, ISSUES RELATING TO LABOR AND INDUSTRIES
BETHEL SD 403, CASCADE GOVERNMENT AFFAIRS, 1/1/2016, 4000.00, CONSULTING
BETHEL SD 403, CASCADE GOVERNMENT AFFAIRS, 2/1/2016, 4000.00, CONSULTING
BETHEL SD 403, CASCADE GOVERNMENT AFFAIRS, 3/1/2016, 4000.00, CONSULTING
CITY OF EVERETT, TWO MEDICINE COMMUNICATIONS, 1/31/2016, 4000.00, ANNUAL CONTRACT:  HIGHER EDUCATION
CITY OF EVERETT, OUTCOMES BY LEVY LLC, 1/31/2016, 6000.00, ANNUAL CONTRACT:  IN DISTRICT AND IN-OFFICE MEETINGS WITH AREA LAWMAKERS REPRESENTING EVERETT
CITY OF EVERETT, OUTCOMES BY LEVY LLC, 1/31/2016, 336.09, PERSONAL EXPENSES
CITY OF EVERETT, TWO MEDICINE COMMUJNICATOINS, 2/29/2016, 4000.00, ANNUAL CONTRACT:  HIGHER EDUCATION
CITY OF EVERETT, OUTCOMES BY LEVY LLC, 2/29/2016, 6000.00, ANNUAL CONTRACT:  IN DISTRICT AND IN-OFFICE MEETINGS WITH AREA LAWMAKERS REPRESENTING EVERETT
CITY OF EVERETT, OUTCOMES BY LEVY LLC, 2/29/2016, 242.07, PERSONAL EXPENSES
CITY OF EVERETT, TWO MEDICINE COMMUNICATIONS, 3/31/2016, 4000.00, ANNUAL CONTRACT:  HIGHER EDUCATION
CITY OF EVERETT, OUTCOMES BY LEVY LLC, 3/31/2016, 6000.00, ANNUAL CONTRACT:  IN DISTRICT AND IN-HOUE MEETINGS WITH AREA LAWMAKERS REPRESENTING EVERETT
CITY OF EVERETT, OUTCOMES BY LEVY LLC, 3/31/2016, 145.57, PERSONAL EXPENSES
CITY OF EVERETT, DICK THOMPSON DBA THOMPSON CONSULTING, 3/31/2016, 6750.00, ANNUAL CONTRACT:  HIGHER EDUCATION ISSUES
CITY OF FIFE, OUTCOMES BY LEVY, 1/29/2016, 4198.54, BUDGET AND PUBLIC RECORDS ACT
CITY OF FIFE, OUTCOMES BY LEVY, 2/29/2016, 3542.07, BUDGET AND PUBLIC RECORDS ACT
CITY OF FIFE, OUTCOMES BY LEVY, 3/31/2016, 3445.56, BUDGET & PUBLIC RECORDS ACT
CITY OF KENNEWICK, MCBRIDE PUBLIC AFFAIRS, 1/15/2016, 2000.00, CONTRACT LOBBYIST
