Legislator, Activities, Hours
REP BRAD HAWKINS, 7, 1.41
REP BRAD KLIPPERT, 26, 12.09
REP BRADY WALKINSHAW, 21, 6.93
REP BRANDON VICK, 6, 0.85
REP BRIAN BLAKE, 9, 2.95
REP BRUCE CHANDLER, 26, 12.42
REP CAROL GREGORY, 9, 3.00
REP CARY CONDOTTA, 11, 4.46
REP CHAD MAGENDANZ, 32, 9.33
REP CHRIS REYKDAL, 25, 7.57
REP CHRISTINE KILDUFF, 30, 11.71
REP CHRISTOPHER HURST, 8, 2.20
REP CINDY RYU, 16, 5.16
REP CYRUS HABIB, 8, 3.75
REP DAN GRIFFEY, 6, 1.59
REP DAN KRISTIANSEN, 16, 8.25
REP DAVE HAYES, 35, 54.85
REP DAVID SAWYER, 26, 3.73
REP DAVID TAYLOR, 6, 6.75
REP DEAN TAKKO, 9, 2.60
REP DEREK STANFORD, 36, 14.45
REP DICK MURI, 10, 2.85
REP DREW HANSEN, 66, 25.62
REP DREW MACEWEN, 9, 3.85
REP DREW STOKESBARY, 19, 6.01
REP ED ORCUTT, 10, 2.67
REP EILEEN CODY, 29, 17.10
REP ELIZABETH SCOTT, 10, 1.91
REP ERIC PETTIGREW, 14, 3.28
REP FRANK CHOPP, 44, 23.27
REP GAEL TARLETON, 28, 11.55
REP GERRY POLLET, 41, 22.19
REP GINA MCCABE, 11, 5.25
REP GRAHAM HUNT, 7, 1.83
REP HANS DUNSHEE, 66, 24.02
REP HANS ZEIGER, 50, 19.55
REP J.T. WILCOX, 21, 5.93
REP JAKE FEY, 42, 26.52
REP JAY RODNE, 11, 4.36
REP JEFF HOLY, 15, 3.92
REP JEFF MORRIS, 12, 5.47
REP JESSE YOUNG, 4, 1.83
REP JESSYN FARRELL, 22, 10.25
REP JIM MOELLER, 17, 6.73
REP JOAN MCBRIDE, 12, 5.20
REP JOE FITZGIBBON, 46, 24.65
REP JOE SCHMICK, 14, 6.12
REP JOEL KRETZ, 13, 3.91
REP JUDY CLIBBORN, 30, 16.45
REP JUDY WARNICK, 3, 0.60
REP JUNE ROBINSON, 21, 6.61
REP KEVIN PARKER, 19, 4.86
REP KEVIN VAN DE WEGE, 8, 2.82
REP KRISTINE LYTTON, 13, 5.16
REP LARRY HALER, 24, 8.68
REP LARRY SPRINGER, 35, 13.42
REP LAURIE JINKINS, 34, 12.79
REP LILLIAN ORTIZ-SELF, 9, 2.24
REP LINDA KOCHMAR, 16, 5.03
REP LIZ PIKE, 6, 1.25
REP LUANNE VANWERVEN, 17, 5.08
REP LUIS MOSCOSO, 30, 9.89
REP LYNDA WILSON, 5, 3.09
REP MARCUS RICCELLI, 28, 13.99
REP MARK HARGROVE, 6, 1.33
REP MARK HARMSWORTH, 14, 2.30
REP MATT MANWELLER, 4, 1.25
REP MATT SHEA, 3, 0.75
REP MAUREEN WALSH, 18, 5.62
REP MELANIE STAMBAUGH, 19, 13.20
REP MIA GREGERSON, 8, 3.25
REP MICHELLE CALDIER, 20, 7.93
REP MIKE SELLS, 20, 4.95
REP NORM JOHNSON, 18, 6.32
REP NORMA SMITH, 38, 21.34
REP PAT SULLIVAN, 31, 12.84
REP PAUL HARRIS, 19, 7.29
REP REUVEN CARLYLE, 21, 11.99
REP RICHARD DEBOLT, 37, 13.57
REP ROBERT MCCASLIN, 8, 1.91
REP ROGER GOODMAN, 23, 10.18
REP ROSS HUNTER, 34, 15.57
REP RUTH KAGI, 54, 21.26
REP SAM HUNT, 29, 8.11
REP SHARON TOMIKO SANTOS, 6, 1.95
REP SHARON WYLIE, 11, 19.15
