Legislator, Activities, Hours
REP BRAD HAWKINS, 4, 1.25
REP BRAD KLIPPERT, 7, 2.39
REP BRADY WALKINSHAW, 9, 1.73
REP BRANDON VICK, 6, 19.20
REP BRIAN BLAKE, 1, 0.50
REP BRUCE CHANDLER, 5, 1.08
REP CARY CONDOTTA, 3, 1.10
REP CHAD MAGENDANZ, 9, 7.25
REP CHRIS REYKDAL, 10, 6.75
REP CHRISTINE KILDUFF, 16, 3.21
REP CHRISTOPHER HURST, 1, 1.50
REP CINDY RYU, 4, 2.25
REP CYRUS HABIB, 2, 0.50
REP DAN GRIFFEY, 1, 0.25
REP DAN KRISTIANSEN, 8, 2.60
REP DAVE HAYES, 3, 1.25
REP DAVID SAWYER, 7, 0.73
REP DAVID TAYLOR, 1, 0.08
REP DEAN TAKKO, 1, 0.25
REP DEREK STANFORD, 6, 1.60
REP DICK MURI, 9, 2.58
REP DREW HANSEN, 26, 8.52
REP DREW MACEWEN, 2, 0.50
REP DREW STOKESBARY, 4, 1.00
REP ED ORCUTT, 2, 0.75
REP EILEEN CODY, 18, 6.78
REP ELIZABETH SCOTT, 1, 0.17
REP ERIC PETTIGREW, 8, 2.41
REP FRANK CHOPP, 11, 3.40
REP GAEL TARLETON, 11, 2.85
REP GERRY POLLET, 24, 9.08
REP GINA MCCABE, 5, 17.70
REP HANS DUNSHEE, 15, 3.71
REP HANS ZEIGER, 9, 2.60
REP J.T. WILCOX, 14, 4.33
REP JAKE FEY, 5, 1.01
REP JAY RODNE, 3, 0.24
REP JEFF HOLY, 12, 2.73
REP JEFF MORRIS, 1, 0.10
REP JESSE YOUNG, 2, 0.50
REP JESSYN FARRELL, 13, 4.66
REP JIM MOELLER, 3, 1.00
REP JOAN MCBRIDE, 9, 2.40
REP JOE FITZGIBBON, 6, 1.58
REP JOE SCHMICK, 4, 1.08
REP JOEL KRETZ, 3, 0.41
REP JUDY CLIBBORN, 4, 0.29
REP JUDY WARNICK, 2, 0.50
REP JUNE ROBINSON, 1, 0.25
REP KEVIN PARKER, 6, 1.73
REP KEVIN VAN DE WEGE, 5, 2.28
REP KRISTINE LYTTON, 7, 2.10
REP LARRY HALER, 8, 1.61
REP LARRY SPRINGER, 7, 2.10
REP LAURIE JINKINS, 9, 2.88
REP LILLIAN ORTIZ-SELF, 9, 3.07
REP LINDA KOCHMAR, 11, 2.58
REP LIZ PIKE, 2, 3.00
REP LUANNE VANWERVEN, 10, 3.15
REP LUIS MOSCOSO, 6, 3.55
REP MARCUS RICCELLI, 17, 10.20
REP MARK HARGROVE, 5, 1.25
REP MARK HARMSWORTH, 5, 1.33
REP MATT MANWELLER, 10, 1.31
REP MATT SHEA, 2, 0.16
REP MAUREEN WALSH, 6, 1.66
REP MELANIE STAMBAUGH, 8, 2.35
REP MICHELLE CALDIER, 2, 0.50
REP MIKE SELLS, 2, 0.50
REP NORM JOHNSON, 4, 1.08
REP NORMA SMITH, 10, 6.85
REP PAT SULLIVAN, 8, 2.43
REP PAUL HARRIS, 5, 0.88
REP REUVEN CARLYLE, 10, 4.70
REP RICHARD DEBOLT, 3, 1.00
REP ROBERT MCCASLIN, 2, 0.33
REP ROGER GOODMAN, 12, 4.25
REP RUTH KAGI, 24, 4.90
REP SAM HUNT, 6, 2.00
REP SHARON TOMIKO SANTOS, 7, 2.16
REP SHELLY SHORT, 5, 1.83
REP SHERRY APPLETON, 3, 7.25
REP STEVE BERGQUIST, 7, 2.00
REP STEVE KIRBY, 3, 1.00
REP STEVE THARINGER, 11, 3.01
REP STROM PETERSON, 3, 0.75
REP TANA SENN, 8, 1.92
REP TERRY NEALEY, 11, 1.64
REP TIMM ORMSBY, 4, 1.68
REP TINA ORWALL, 14, 7.78
REP TOM DENT, 5, 1.41
REP VINCENT BUYS, 2, 0.50
REP ZACK HUDGINS, 11, 5.05
SEN ANDY BILLIG, 17, 10.37
SEN ANDY HILL, 16, 7.60
SEN ANN RIVERS, 6, 1.80
SEN ANNETTE CLEVELAND, 4, 1.10
SEN BARBARA BAILEY, 13, 3.18
SEN BOB HASEGAWA, 11, 4.85
SEN BRIAN DANSEL, 1, 1.00
SEN BRUCE DAMMEIER, 9, 12.35
SEN CHRISTINE ROLFES, 6, 1.41
SEN CURTIS KING, 4, 1.16
SEN CYRUS HABIB, 5, 1.42
SEN DAVID FROCKT, 32, 12.51
SEN DON BENTON, 3, 0.83
SEN DOUG ERICKSEN, 1, 8.00
SEN JAMES HARGROVE, 17, 3.77
