Rank,Donor,Total,To Conservs,To Liberals,% to Conservs,% to Liberals
1,Renaissance Technologies,"$19,555,000 ","$16,030,000 ","$2,600,000 ",86%,14%
2,Fahr LLC/Tom Steyer,"$17,044,744 ",$0 ,"$17,044,744 ",0%,100%
3,Wilks Brothers,"$15,250,000 ","$15,250,000 ",$0 ,100%,0%
4,Starr Companies,"$15,110,000 ","$15,110,000 ",$0 ,100%,0%
5,Soros Fund Management,"$12,410,500 ","$335,500 ","$9,075,000 ",4%,96%
6,Elliott Management,"$11,470,673 ","$11,369,673 ",$0 ,100%,0%
7,Quantum Energy Partners,"$11,001,000 ","$11,001,000 ",$0 ,100%,0%
8,Uline Inc,"$10,858,500 ","$10,782,500 ",$0 ,100%,0%
9,Paloma Partners,"$9,700,000 ",$0 ,"$9,700,000 ",0%,100%
10,Euclidean Capital,"$9,625,000 ","$25,000 ","$9,600,000 ",0%,100%
11,Carpenters & Joiners Union,"$8,913,049 ","$250,000 ","$8,663,049 ",3%,97%
12,Mountaire Corp,"$8,805,000 ","$8,555,000 ",$0 ,100%,0%
13,Stephens Inc,"$8,775,000 ","$8,475,000 ",$0 ,100%,0%
14,Pritzker Group,"$8,430,000 ","$530,000 ","$7,900,000 ",6%,94%
15,Citadel LLC,"$8,400,000 ","$8,200,000 ",$0 ,100%,0%
16,Braman Motorcars,"$7,300,000 ","$7,200,000 ","$100,000 ",99%,1%
17,Newsweb Corp,"$7,050,000 ",$0 ,"$7,050,000 ",0%,100%
18,Laborers Union,"$6,883,149 ","$710,000 ","$6,148,129 ",10%,90%
19,Republican Governors Assn,"$6,300,000 ","$6,300,000 ",$0 ,100%,0%
20,Point72 Asset Management,"$6,077,000 ","$6,077,000 ",$0 ,100%,0%
21,Chicago Cubs,"$5,855,000 ","$5,855,000 ",$0 ,100%,0%
22,Bloomberg Lp,"$5,516,144 ","$5,000 ","$66,271 ",7%,93%
23,Saban Capital Group,"$5,100,000 ",$0 ,"$5,100,000 ",0%,100%
24,Oracle Corp,"$5,028,473 ","$5,025,750 ","$2,000 ",100%,0%
25,Chartwell Partners,"$4,805,209 ","$4,805,209 ",$0 ,100%,0%
26,National Nurses United,"$4,546,930 ",$0 ,"$4,546,930 ",0%,100%
27,Laurel Foundation,"$4,492,750 ",$0 ,"$4,492,500 ",0%,100%
28,Houston Texans,"$4,200,000 ","$4,200,000 ",$0 ,100%,0%
29,AFL-CIO,"$3,875,296 ",$0 ,"$3,875,296 ",0%,100%
30,Access Industries,"$3,600,000 ","$3,600,000 ",$0 ,100%,0%
31,Leon Medical Centers,"$3,551,000 ","$3,551,000 ",$0 ,100%,0%
32,MBF Healthcare Partners,"$3,480,520 ","$3,480,520 ",$0 ,100%,0%
33,National Assn of Realtors,"$3,295,985 ","$5,203 ",$0 ,100%,0%
34,BLS Investments,"$3,250,000 ",$0 ,"$3,250,000 ",0%,100%
35,Susquehanna International Group,"$3,150,000 ","$3,150,000 ",$0 ,100%,0%
36,Koch Industries,"$3,050,000 ","$3,050,000 ",$0 ,100%,0%
37,Plumbers/Pipefitters Union,"$3,032,637 ",$0 ,"$2,768,054 ",0%,100%
38,Chevron Corp,"$3,005,810 ","$3,005,285 ",$250 ,100%,0%
39,Center for Middle East Peace,"$3,000,000 ",$0 ,"$3,000,000 ",0%,100%
39,Hendricks Holding Co,"$3,000,000 ","$3,000,000 ",$0 ,100%,0%
39,Herb & Marion Sandler/Sandler Foundation,"$3,000,000 ",$0 ,"$3,000,000 ",0%,100%
39,TAMKO Building Products,"$3,000,000 ","$3,000,000 ",$0 ,100%,0%
43,National Education Assn,"$2,873,209 ",$0 ,"$2,872,209 ",0%,100%
44,Trusted Leadership Pac,"$2,859,026 ","$2,859,026 ",$0 ,100%,0%
45,American Federation of Teachers,"$2,851,568 ",$0 ,"$2,851,568 ",0%,100%
46,Marcus Foundation,"$2,850,000 ","$2,850,000 ",$0 ,100%,0%
47,Rooney Holdings,"$2,733,413 ","$2,683,413 ",$0 ,100%,0%
48,Environment America,"$2,600,000 ",$0 ,"$2,600,000 ",0%,100%
48,Exoxemis Inc,"$2,600,000 ","$2,600,000 ",$0 ,100%,0%
50,Depot Landmark LLC,"$2,485,000 ",$0 ,"$2,485,000 ",0%,100%
51,Hunt Companies,"$2,478,314 ","$2,478,314 ",$0 ,100%,0%
52,Baupost Group,"$2,460,000 ","$2,360,000 ",$0 ,100%,0%
53,Tiger Management,"$2,350,169 ","$1,850,169 ",$0 ,100%,0%
54,Affiliated Managers Group,"$2,315,000 ","$2,300,000 ",$0 ,100%,0%
55,DE Shaw Research,"$2,300,000 ",$0 ,"$2,300,000 ",0%,100%
56,Chief Oil & Gas,"$2,287,493 ","$2,287,493 ",$0 ,100%,0%
57,Oberndorf Enterprises,"$2,287,306 ","$2,287,306 ",$0 ,100%,0%
58,Dreamworks SKG,"$2,220,000 ","$20,000 ","$2,200,000 ",1%,99%
59,ClearPath Foundation,"$2,197,282 ","$197,282 ",$0 ,100%,0%
60,Barbara Lee Family Foundation,"$2,196,904 ",$0 ,"$2,196,904 ",0%,100%
61,United Steelworkers,"$2,100,174 ",$0 ,"$2,100,174 ",0%,100%
62,RagingWire Enterprise Solutions,"$2,100,000 ","$2,100,000 ",$0 ,100%,0%
63,Bohemian Foundation,"$2,050,000 ",$0 ,"$2,050,000 ",0%,100%
64,Walt Disney Co,"$2,006,600 ","$2,000,700 ",$600 ,100%,0%
