Bill,Flags,Title,Status,Veto,Date,Original Sponsor
"EHB 1003","af","Schools, disaster recovery","C 37 L 16","","3/29/2016","Hawkins"
"SHB 1006","","Wage violations, damages for","H Rules C","","3/13/2015","Sawyer"
"HB 1012","","Manuf/mobile home landlords","H Judiciary","","1/12/2015","Appleton"
"HB 1013","a","County legislative meetings","C 179 L 15","","5/7/2015","Appleton"
"HB 1014","","Antifreeze products","H Rules 3C","","4/24/2015","Appleton"
"HB 1015","f","Driving-related convictions","H Public Safety","","1/12/2015","Appleton"
"HB 1016","","Legal financial obligations","H Public Safety","","1/12/2015","Appleton"
"HB 1017","f","Misdemeanor convictions","H Public Safety","","1/12/2015","Appleton"
"SHB 1018","","Breed-based dog regulations","H Rules R","","2/5/2016","Appleton"
"HB 1019","f","Housing orgs/qual award prog","H Comm Dev, Hous","","1/12/2015","Appleton"
"HB 1020","","Cannabis, medical use of","H Commerce & Gami","","1/12/2015","Appleton"
"SHB 1021","","Silver alert system","C 2 L 15 E1","","6/10/2015","Appleton"
"HB 1022","f","Bail bond agreements","C 73 L 16","","3/31/2016","Appleton"
"HB 1023","f#","One candidate primaries","H State Governme","","1/12/2015","Appleton"
"HB 1024","f#","Controlled substance/penalty","H Public Safety","","1/12/2015","Appleton"
"HB 1025","f","WA health security trust","H HC/Wellness","","1/12/2015","Appleton"
"HB 1026","f#","Write-in voting","H State Governme","","1/12/2015","Appleton"
"HB 1027","","Dental health aides & tribes","H Comm Dev, Hous","","1/12/2015","Appleton"
"HB 1028","#","Court security","H Judiciary","","1/12/2015","Appleton"
"HB 1029","","Warrant officers' authority","H Judiciary","","1/12/2015","Appleton"
"SHB 1030","f","Advance higher ed loan progr","H Approps","","2/12/2015","Johnson"
"SHB 1031","f","College in the high school","H Rules X","","1/28/2016","Johnson"
"SHB 1034","","Surname changes when married","H Rules R","","1/19/2016","Moeller"
"HB 1035","","Guardian ad litem pers. info","H State Governme","","1/12/2015","Moeller"
"HB 1036","f","Domestic partnerships & PERS","H Rules X","","1/28/2016","Moeller"
"SHB 1038","","Apprenticeship utilization","H Finance","","2/12/2015","Moeller"
"HB 1041","","Marijuana misdemeanors","H Public Safety","","1/12/2015","Fitzgibbon"
