Bill,Flags,Title,Status,Veto,Date,Original Sponsor
EHB 1003,af,"Schools, disaster recovery",C 37 L 16,,3/29/2016,Hawkins
SHB 1006,,"Wage violations, damages for",H Rules C,,3/13/2015,Sawyer
HB 1007,#,Traffic safety cameras,H Trans,,1/11/2016,Fey
SHB 1021,,Silver alert system,C 2 L 15 E1,,6/10/2015,Appleton
SHB 1030,f,Advance higher ed loan progr,H Approps,,2/12/2015,Johnson
SHB 1031,f,College in the high school,H Rules X,,1/28/2016,Johnson
HB 1036,f,Domestic partnerships & PERS,H Rules X,,1/28/2016,Moeller
HB 1044,f,Minority & women's business,H Approps,,1/21/2015,Santos
SHB 1052,,Military spouses/higher ed,C 14 L 15,,4/17/2015,Hayes
HB 1055,fd,Conforming amendments/govt,H Gen Govt & Info,,1/11/2016,Bergquist
HB 1081,,College in the high school,H Education,,1/12/2015,Sullivan
SHB 1092,d,Patent infringement claims,H Judiciary,,1/11/2016,Jinkins
2SHB 1107,,Cultural & heritage programs,H Finance,,1/11/2016,Springer
SHB 1109,f,OSPI certif'd employees/TRS,H Approps,,1/11/2016,Reykdal
HB 1112,f,Gold star license plates,H Trans,,1/11/2016,Appleton
SHB 1121,,Financial education prtnrshp,H Education,,1/11/2016,Parker
SHB 1136,fd,Employmnt after govt service,H State Governme,,1/11/2016,Carlyle
SHB 1138,,Higher ed mental health,C 67 L 15,,4/23/2015,Orwall
HB 1139,f,Human trafficking of youth,H Rules X,,1/28/2016,Orwall
HB 1140,f,Psychiatric consultation/HCA,H Approps,,2/19/2015,Orwall
HB 1143,,Voted ballot/by fax or email,H State Governmen,,1/11/2016,"Hunt, S."
HB 1144,f#,Voter registration,H State Governme,,1/14/2015,"Hunt, S."
HB 1146,f,Higher ed fiscal matters,H Approps,,1/14/2015,Haler
HB 1147,f,Higher ed admissions study,H Approps,,2/16/2015,Haler
HB 1150,f,Child abuse/military parents,H Erly Lrn/H Svc,,1/11/2016,Muri
SHB 1151,,Caregiver respite services,H Approps,,2/19/2015,Moeller
SHB 1154,f,Affordable college grant pr.,H Approps,,2/20/2015,Bergquist
HB 1155,f,"Senior citizens, property tx",H Finance,,1/14/2015,Pike
