Bill,Flags,Title,Status,Veto,Date,Original Sponsor
"SHB 1000","f","DFW land, water rights","H Gen Govt & Inf","","2/12/2015","Blake"
"HB 1001","","Funding education first","H Approps","","1/12/2015","MacEwen"
"HB 1004","f","Alcohol tasting by students","C 59 L 15","","4/23/2015","Springer"
"SHB 1008","","Agency data practices audits","H Gen Govt & Info","","1/11/2016","Smith"
"SHB 1010","","Occupational therapists","C 10 L 15","","4/17/2015","Johnson"
"HB 1011","","Climate zones, counties in","C 11 L 15","","4/17/2015","Short"
"SHB 1018","","Breed-based dog regulations","H Rules R","","2/5/2016","Appleton"
"HB 1027","","Dental health aides & tribes","H Comm Dev, Hous","","1/12/2015","Appleton"
"HB 1033","f","Hunting, private land access","H Ag & Nat Res","","1/12/2015","Blake"
"HB 1051","","Supreme court elections","H Judiciary","","1/12/2015","DeBolt"
"HB 1061","fo#","District judges, Skagit Cnty","C 25 L 15 E3","","7/6/2015","Hayes"
"HB 1102","f#","Sewer system in right-of-way","H Local Govt","","1/12/2015","Takko"
"HB 1104","f#","Interference w/ag production","H Public Safety","","1/12/2015","Schmick"
"HB 1114","f","Internet poker","H Commerce & Gam","","1/12/2015","Appleton"
"HB 1119","f","Hunter safety & minimum ages","H Ag & Nat Res","","1/13/2015","Blake"
"EHB 1123","","Single-family res. dwellings","H Rules X","","2/26/2016","Blake"
"SHB 1131","","Ivory and rhinoceros horns","H Gen Govt & Info","","2/5/2015","Pettigrew"
"SHB 1132","f","Adult family homes","C 66 L 15","","4/23/2015","Tharinger"
"HB 1137","f","Geologists & well operators","H Ag & Nat Res","","1/14/2015","Short"
"HB 1155","f","Senior citizens, property tx","H Finance","","1/14/2015","Pike"
"HB 1158","f#","Growth mgmt/sup court review","H Local Govt","","1/14/2015","Pike"
"HB 1179","f","Cider makers/wine c. assmnt","C 76 L 15","","4/24/2015","Lytton"
"HB 1181","","Asbestos abating/respirators","H Labor","","1/15/2015","Taylor"
"HB 1182","fd","Geological hazard assessment","H Ag & Nat Res","","1/11/2016","Hurst"
"EHB 1187","f#","Water banking best practices","H Rules X","","2/2/2016","Chandler"
"HB 1189","","City, district publ. records","H Rules 3C","","4/24/2015","Hunt, S."
"SHB 1190","","Optometrists/hydrocodone use","H HC/Wellness","","1/11/2016","Harris"
"SHB 1191","f","Concealed pistol license","H Approps","","2/9/2015","Taylor"
"HB 1192","f","Federal land transfer","H Cap Budget","","1/15/2015","Taylor"
"HB 1193","","Legal firearms, owners of","H Judiciary","","1/15/2015","Taylor"
"HB 1195","f","Tow truck operators","H Labor & Workpla","","1/11/2016","Rodne"
"HB 1199","f","Species status/F&W comm.","H Ag & Nat Res","","1/15/2015","Short"
"HB 1200","f","Fish and wildlife policies","H State Governme","","1/15/2015","Scott"
"HB 1201","","Administrative rules","H State Governme","","1/15/2015","Scott"
"HB 1202","","Ecology administrative rules","H State Governme","","1/15/2015","Scott"
"HB 1203","","Adminstrative rules & policy","H State Governme","","1/15/2015","Scott"
"HB 1204","f","Ecology policies enforcement","H State Governme","","1/15/2015","Scott"
"HB 1205","f","Nongovernment parties/claims","H Judiciary","","1/15/2015","Shea"
"HB 1206","","Admin action/judicial review","H Judiciary","","1/15/2015","Shea"
"HB 1207","","Law interpretation, judicial","H Judiciary","","1/15/2015","Shea"
"HB 1208","f","Adjudicative proceedings","H Judiciary","","1/15/2015","Scott"
"HB 1209","","Jnt. admin rules review comm","H State Governme","","1/15/2015","Scott"
"HB 1210","f#","Poll-site voting & voting ID","H State Governme","","1/15/2015","Hunt, G."
"ESHB 1211","","Wage payment/fees and costs","H Labor & Workpla","","1/11/2016","Hunt, G."
"HB 1214","","Ag lands/shoreline mgmt act","H Local Govt","","1/15/2015","Scott"
"HB 1215","f#","Ag land conversion/GMA","H Local Govt","","1/15/2015","Scott"
"HB 1216","","Ag land conversion/GMA, SMA","H Local Govt","","1/15/2015","Scott"
"HB 1217","","Capitol furnishings pres com","H State Governmen","","1/11/2016","Moeller"
"HB 1218","f","Nontoll transp. projects","H Trans","","1/11/2016","Zeiger"
"HB 1219","f","State bridges","C 10 L 15 E3","","7/6/2015","Zeiger"
"HB 1220","f","Ag crop protection products","H Finance","","1/21/2015","Blake"
"HB 1225","","Species status/F&W comm.","H Ag & Nat Res","","1/15/2015","Kretz"
"HB 1228","f","Ballot measure fiscal info","H State Governme","","1/15/2015","Johnson"
"HB 1229","","Initiatives, fiscal info","H State Governme","","1/15/2015","Johnson"
"HB 1233","","Groundwater for domestic use","H Ag & Nat Res","","1/15/2015","Chandler"
"HB 1237","","Landowners and forest fires","H Ag & Nat Res","","1/15/2015","Kretz"
"SHB 1240","af","Student restraint, isolation","C 206 L 15","","5/8/2015","Pollet"
"HB 1245","","Gun sale background checks","H Judiciary","","1/16/2015","Shea"
"HB 1246","","Foreign laws","H Judiciary","","1/16/2015","Shea"
"HB 1247","","Human decapitation","H Judiciary","","1/16/2015","Shea"
"HB 1253","f","Workplace injury reporting","H Labor","","1/16/2015","Manweller"
"HB 1254","f","Prevailing wages/pilot prjct","H Labor","","1/16/2015","Manweller"
"HB 1256","f","Derelict vessel prevention","H Ag & Nat Res","","1/16/2015","Tharinger"
"EHB 1258","f#","Detention decision review","H Judiciary","","1/11/2016","Walkinshaw"
"HB 1259","","ARNPs/signing documentation","C 104 L 15","","4/25/2015","Cody"
"HB 1262","","Fed. govt owning land in WA","H Cap Budget","","1/16/2015","Blake"
