Bill,Flags,Title,Status,Veto,Date,Original Sponsor
"HB 1080","f","Health professional program","H Approps","","1/12/2015","Harris"
"ESHB 1186","","Patients, observation status","H HC/Wellness","","1/11/2016","Clibborn"
"SHB 1221","","Passenger-only ferry distr's","H Trans","","1/11/2016","Hansen"
"HB 1228","f","Ballot measure fiscal info","H State Governme","","1/15/2015","Johnson"
"HB 1229","","Initiatives, fiscal info","H State Governme","","1/15/2015","Johnson"
"HB 1286","f","Long-term care funding study","H Approps","","2/17/2015","Tharinger"
"HB 1292","","Water facility fee immunity","H Judiciary","","1/16/2015","Young"
"HB 1401","f","Psych detention data/no bed","H HC/Wellness","","1/20/2015","Cody"
"HB 1423","","Female genital mutilation","H Public Safety","","1/20/2015","Scott"
"HB 1427","f","Property tax relief programs","H Finance","","1/20/2015","Stokesbary"
"2SHB 1448","af#","Suicide threats, response to","C 158 L 16","","4/1/2016","Riccelli"
"HB 1504","f","Hospital charity care","H HC/Wellness","","1/21/2015","Jinkins"
"HB 1524","f","Nonparent responsibilities","H Judiciary","","1/22/2015","Caldier"
"SHB 1525","","Beverage containers","H Rules R","","2/5/2016","Caldier"
"SHB 1528","","Epinephrine autoinjectors","H Rules X","","2/26/2016","Robinson"
"HB 1531","fd","Long-term care workers","C 152 L 15","","5/1/2015","Tharinger"
"HB 1533","","Firearm transfer for exhibit","H Judiciary","","1/22/2015","Van Werven"
"HB 1583","","School construction taxes","H Finance","","1/23/2015","Young"
"HB 1622","af","Cottage food operations","C 203 L 15","","5/8/2015","Young"
"HB 1655","","Motorcycle safety ed adv brd","H Trans","","1/26/2015","Moscoso"
"HB 1666","f","St-wide student assessments","H Approps","","2/1/2016","Magendanz"
"HB 1712","f","Audit protocols for medicaid","H HC/Wellness","","1/27/2015","Harris"
"HB 1742","fd","Cottage food operations","H Ag & Nat Res","","1/11/2016","Lytton"
"HB 1816","","Admin rules review committee","H State Governme","","1/29/2015","Wilson"
"HB 1819","","Political committee acct bks","C 54 L 15","","4/22/2015","Wilson"
"HB 1840","","Conflict resolution/schools","H Education","","1/30/2015","Magendanz"
"SHB 1852","","Pediatric oral services","H HC/Wellness","","1/11/2016","Caldier"
"SHB 1855","f","Local graduation requiremnts","H Rules 3C","","3/10/2016","Caldier"
"HB 1908","","Electronic benefit cards","H Erly Lrn/H Svc","","2/2/2015","Klippert"
"SHB 1932","f","Medication mgmt for youth","H Approps","","2/20/2015","Kagi"
"4SHB 1999","f","Foster youth edu outcomes","C 71 L 16","","3/30/2016","Carlyle"
