Bill,Flags,Title,Status,Veto,Date,Original Sponsor,Committee Sponsor,Companion Bills,Last Roll Call,Latest Committee Recommendation,Sponsor (combined),Secondary Sponsor,This Committee Recommendation
"HI 732","f","Carbon pollution tax","H Finance","","1/22/2016","People of the State of Washington","","","","","People of the State of Washington","",""
"HI 735","","Corporate & money influence","H Rules R","","2/5/2016","People of the State of Washington","","","","DP4 DNP3 (SG 16)","People of the State of Washington","",""
"HB 1000","f","DFW land, water rights","H Gen Govt & Info","","2/12/2015","Blake","","","","DPS7 DNP5 w/oRec1 (AGNR 15)","Blake","Kretz",""
"HB 1001","","Funding education first","H Approps","","1/12/2015","MacEwen","","","","","MacEwen","Young",""
"HB 1002","f","Dental insurance practices","H subst for","","3/2/2015","DeBolt","","","","DPS15 (HCW 15)","DeBolt","",""
"EHB 1003","af","Schools, disaster recovery","C 37 L 16","","3/29/2016","Hawkins","","","95-1-0-2","DP9 (EDU 16)","Hawkins","Lytton",""
"HB 1004","f","Alcohol tasting by students","C 59 L 15","","4/23/2015","Springer","","SB 5001(S Rules X)","38-6-0-5","DP7 (CL 15)","Springer","Manweller",""
"HB 1005","","Health care info release","H HC/Wellness","","1/11/2016","Cody","","SB 5011(C 289 L 15)","","DP14 (HCW 15)","Cody","Schmick",""
"HB 1006","","Wage violations, damages for","H Rules C","","3/13/2015","Sawyer","","SB 5568(S Commerce and La)","","DPS5 DNP1 w/oRec1 (LAWS 15)","Sawyer","Hunt, G.",""
"HB 1007","#","Traffic safety cameras","H Trans","","1/11/2016","Fey","","SB 5336(S Rules X)","","DP15 DNP9 w/oRec1 (TR 15)","Fey","Kochmar",""
"HB 1008","f","Agency data practices audits","H Gen Govt & Info","","1/11/2016","Smith","","","","DPS6 w/oRec1 (GGIT 15)","Smith","Hudgins",""
"HB 1009","f#","Rural amphitheater surcharge","H Rules C","","3/13/2015","Manweller","","SB 5000(S Rules X)","","DP2S(w/o sub LG)11 DNP3 w/oRec2 (FIN 15)","Manweller","Hawkins",""
"HB 1010","","Occupational therapists","H subst for","","2/9/2015","Johnson","","SB 5034(S Rules X)","","DPS14 (HCW 15)","Johnson","Cody",""
"HB 1011","","Climate zones, counties in","C 11 L 15","","4/17/2015","Short","","","46-0-0-3","DP7 (GOS 15)","Short","Takko",""
"HB 1012","","Manuf/mobile home landlords","H Judiciary","","1/12/2015","Appleton","","","","","Appleton","Ormsby",""
"HB 1013","a","County legislative meetings","C 179 L 15","","5/7/2015","Appleton","","","80-16-0-2","DPA7 (GOS 15)","Appleton","Johnson",""
"HB 1014","","Antifreeze products","H Rules 3C","","4/24/2015","Appleton","","","96-1-0-1","DP7 (CL 15)","Appleton","",""
"HB 1015","f","Driving-related convictions","H Public Safety","","1/12/2015","Appleton","","","","","Appleton","",""
"HB 1016","","Legal financial obligations","H Public Safety","","1/12/2015","Appleton","","","","","Appleton","Santos",""
"HB 1017","f","Misdemeanor convictions","H Public Safety","","1/12/2015","Appleton","","","","","Appleton","Orwall",""
"HB 1018","","Breed-based dog regulations","H Rules R","","2/5/2016","Appleton","","","","DPS8 DNP3 w/oRec2 (JUDI 16)","Appleton","Gregerson",""
"HB 1019","f","Housing orgs/qual award prog","H Comm Dev, Hous","","1/12/2015","Appleton","","","","","Appleton","",""
"HB 1020","","Cannabis, medical use of","H Commerce & Gami","","1/12/2015","Appleton","","","","","Appleton","",""
"HB 1021","f","Silver alert system","H subst for","","3/6/2015","Appleton","","","","DPS8 DNP1 (PS 15)","Appleton","Orwall",""
"HB 1022","f","Bail bond agreements","C 73 L 16","","3/31/2016","Appleton","","","47-0-0-2","DP6 (LAW 16)","Appleton","Goodman",""
"HB 1023","f#","One candidate primaries","H State Governme","","1/12/2015","Appleton","","","","","Appleton","Gregerson",""
"HB 1024","f#","Controlled substance/penalty","H Public Safety","","1/12/2015","Appleton","","","","","Appleton","Reykdal",""
"HB 1025","f","WA health security trust","H HC/Wellness","","1/12/2015","Appleton","","SB 5132(S Health Care)","","","Appleton","Moscoso",""
"HB 1026","f#","Write-in voting","H State Governme","","1/12/2015","Appleton","","","","","Appleton","Van De Wege",""
"HB 1027","","Dental health aides & tribes","H Comm Dev, Hous","","1/12/2015","Appleton","","","","","Appleton","Gregerson",""
"HB 1028","#","Court security","H Judiciary","","1/12/2015","Appleton","","","","","Appleton","",""
"HB 1029","","Warrant officers' authority","H Judiciary","","1/12/2015","Appleton","","","","","Appleton","Hayes",""
"HB 1030","f","Advance higher ed loan progr","H Approps","","2/12/2015","Johnson","","","","DPS10 DNP2 w/oRec1 (HE 15)","Johnson","Sells",""
"HB 1031","","College in the high school","H subst for","","3/2/2015","Johnson","","","","DPS20 (ED 15)","Johnson","Santos",""
"HB 1032","f","Habitat projects","H Rules 3C","","4/24/2015","Blake","","","67-30-0-1","DP4 DNP1 w/oRec2 (NRP 15)","Blake","Hurst",""
"HB 1033","f","Hunting, private land access","H Ag & Nat Res","","1/12/2015","Blake","","","","","Blake","Hurst",""
"HB 1034","","Surname changes when married","H Rules R","","1/19/2016","Moeller","","","76-21-0-1","DPS10 DNP3 (JUDI 16)","Moeller","Appleton",""
"HB 1035","","Guardian ad litem pers. info","H State Governme","","1/12/2015","Moeller","","","","","Moeller","Appleton",""
"HB 1036","f","Domestic partnerships & PERS","H Rules X","","1/28/2016","Moeller","","","65-32-0-1","DP23 DNP9 w/oRec1 (APP 15)","Moeller","Appleton",""
"HB 1037","f#","Child support","H subst for","","3/6/2015","Moeller","","SB 5389(S Law & Justice)","","DPS(JUDI)33 (APP 15)","Moeller","Ormsby",""
