Bill,Flags,Title,Status,Veto,Date,Original Sponsor
"HI 732","f","Carbon pollution tax","H Finance","","1/22/2016","People of the State of Washington"
"HI 735","","Corporate & money influence","H Rules R","","2/5/2016","People of the State of Washington"
"HB 1000","f","DFW land, water rights","H Gen Govt & Info","","2/12/2015","Blake"
"HB 1001","","Funding education first","H Approps","","1/12/2015","MacEwen"
"HB 1002","f","Dental insurance practices","H subst for","","3/2/2015","DeBolt"
"EHB 1003","af","Schools, disaster recovery","C 37 L 16","","3/29/2016","Hawkins"
"HB 1004","f","Alcohol tasting by students","C 59 L 15","","4/23/2015","Springer"
"HB 1005","","Health care info release","H HC/Wellness","","1/11/2016","Cody"
"HB 1006","","Wage violations, damages for","H Rules C","","3/13/2015","Sawyer"
"HB 1007","#","Traffic safety cameras","H Trans","","1/11/2016","Fey"
"HB 1008","f","Agency data practices audits","H Gen Govt & Info","","1/11/2016","Smith"
"HB 1009","f#","Rural amphitheater surcharge","H Rules C","","3/13/2015","Manweller"
"HB 1010","","Occupational therapists","H subst for","","2/9/2015","Johnson"
"HB 1011","","Climate zones, counties in","C 11 L 15","","4/17/2015","Short"
"HB 1012","","Manuf/mobile home landlords","H Judiciary","","1/12/2015","Appleton"
"HB 1013","a","County legislative meetings","C 179 L 15","","5/7/2015","Appleton"
"HB 1014","","Antifreeze products","H Rules 3C","","4/24/2015","Appleton"
"HB 1015","f","Driving-related convictions","H Public Safety","","1/12/2015","Appleton"
"HB 1016","","Legal financial obligations","H Public Safety","","1/12/2015","Appleton"
"HB 1017","f","Misdemeanor convictions","H Public Safety","","1/12/2015","Appleton"
"HB 1018","","Breed-based dog regulations","H Rules R","","2/5/2016","Appleton"
"HB 1019","f","Housing orgs/qual award prog","H Comm Dev, Hous","","1/12/2015","Appleton"
"HB 1020","","Cannabis, medical use of","H Commerce & Gami","","1/12/2015","Appleton"
"HB 1021","f","Silver alert system","H subst for","","3/6/2015","Appleton"
"HB 1022","f","Bail bond agreements","C 73 L 16","","3/31/2016","Appleton"
"HB 1023","f#","One candidate primaries","H State Governme","","1/12/2015","Appleton"
"HB 1024","f#","Controlled substance/penalty","H Public Safety","","1/12/2015","Appleton"
"HB 1025","f","WA health security trust","H HC/Wellness","","1/12/2015","Appleton"
"HB 1026","f#","Write-in voting","H State Governme","","1/12/2015","Appleton"
"HB 1027","","Dental health aides & tribes","H Comm Dev, Hous","","1/12/2015","Appleton"
"HB 1028","#","Court security","H Judiciary","","1/12/2015","Appleton"
"HB 1029","","Warrant officers' authority","H Judiciary","","1/12/2015","Appleton"
"HB 1030","f","Advance higher ed loan progr","H Approps","","2/12/2015","Johnson"
"HB 1031","","College in the high school","H subst for","","3/2/2015","Johnson"
"HB 1032","f","Habitat projects","H Rules 3C","","4/24/2015","Blake"
"HB 1033","f","Hunting, private land access","H Ag & Nat Res","","1/12/2015","Blake"
"HB 1034","","Surname changes when married","H Rules R","","1/19/2016","Moeller"
"HB 1035","","Guardian ad litem pers. info","H State Governme","","1/12/2015","Moeller"
"HB 1036","f","Domestic partnerships & PERS","H Rules X","","1/28/2016","Moeller"
"HB 1037","f#","Child support","H subst for","","3/6/2015","Moeller"
"HB 1038","f","Apprenticeship utilization","H Finance","","2/12/2015","Moeller"
"HB 1039","f#","Voting, signature stamp for","H Rules R","","1/27/2015","Hunt, S."
"HB 1040","","Subversive activities","H Judiciary","","1/12/2015","Fitzgibbon"
"HB 1041","","Marijuana misdemeanors","H Public Safety","","1/12/2015","Fitzgibbon"
"HB 1042","f","Phys therapy & dry needling","H HC/Wellness","","1/11/2016","Cody"
"HB 1043","","Self-service storage","H subst for","","2/11/2015","Ryu"
"HB 1044","f","Minority & women's business","H Approps","","1/21/2015","Santos"
"HB 1045","f","East Asian medicine","H subst for","","2/9/2015","Tharinger"
"HB 1046","","East Asian med practitioners","H HC/Wellness","","1/12/2015","Tharinger"
"HB 1047","fd","Continuity of operations","C 61 L 15","","4/23/2015","Goodman"
"HB 1048","fo#","Residential mortgage lending","H subst for","","2/11/2015","Kirby"
"HB 1049","f","Cadmium/children's jewelry","H Environment","","1/12/2015","Fitzgibbon"
"HB 1050","","Annual leave payments","H State Governme","","1/12/2015","Hunt, S."
"HB 1051","","Supreme court elections","H Judiciary","","1/12/2015","DeBolt"
"HB 1052","","Military spouses/higher ed","H subst for","","3/2/2015","Hayes"
"HB 1053","","Health, dental, vision plans","H subst for","","2/11/2015","Kirby"
"HB 1054","","Collection agency fees","H Rules R","","2/6/2015","Stanford"
"HB 1055","fd","Conforming amendments/govt","H Gen Govt & Info","","1/11/2016","Bergquist"
"HB 1056","f#","Public land and water bodies","H State Governme","","1/12/2015","Haler"
"HB 1057","f#","Mopeds","H Trans","","1/12/2015","Haler"
"HB 1058","","Lobbyists, electronic filing","H State Governme","","1/12/2015","Moeller"
"HB 1059","afd#","Sexually violent predators","C 278 L 15","","5/18/2015","Fagan"
"HB 1060","f#","Litter tax revenues","H subst for","","3/3/2015","Fitzgibbon"
"HB 1061","fo#","District judges, Skagit Cnty","C 25 L 15 E3","","7/6/2015","Hayes"
"HB 1062","fo","Credit union enforcement/DFI","H Bus & Fin Svcs","","1/11/2016","Stanford"
"HB 1063","f","Cosmetology, hair design etc","H subst for","","2/11/2015","Kirby"
"HB 1064","f","Locksmith services","H Bus & Fin Svcs","","1/11/2016","Kirby"
"HB 1065","fo","Insurer holding company act","H Bus & Fin Svcs","","1/11/2016","Kirby"
"HB 1066","fo","Longterm care insurance/IROs","H HC/Wellness","","1/12/2015","Tharinger"
"HB 1067","fd","Medicaid false claims","H subst for","","6/24/2015","Jinkins"
"HB 1068","","Sexual assault exam kits","H subst for","","3/2/2015","Orwall"
"HB 1069","f#","DNA work product, preserving","H subst for","","2/19/2015","Orwall"
"HB 1070","","Int. commercial arbitration","H subst for","","2/12/2015","Goodman"
"HB 1071","o","Form year designations","H Judiciary","","1/11/2016","Goodman"
"HB 1072","f","Prevailing wage surveys","H Labor","","1/12/2015","Manweller"
"HB 1073","f","Prevailing rate of wage","H Labor","","1/12/2015","Manweller"
"HB 1074","f","Prevailing wage survey data","H Labor","","1/12/2015","Manweller"
"HB 1075","f","Prevailing wages, paying of","H Labor","","1/12/2015","Manweller"
"HB 1076","fo","Life insurance reserve req's","H Gen Govt & Info","","1/21/2015","Kirby"
"HB 1077","fo","Reinsurance, credit for","C 63 L 15","","4/23/2015","Kirby"
"HB 1078","fd","Consumer financial info","H subst for","","3/4/2015","Hudgins"
"HB 1079","","Joint utilization contracts","H State Governmen","","1/11/2016","Kochmar"
"HB 1080","f","Health professional program","H Approps","","1/12/2015","Harris"
"HB 1081","","College in the high school","H Education","","1/12/2015","Sullivan"
"HB 1082","","DNA sample/ranked felonies","H Public Safety","","1/12/2015","Hurst"
"HB 1083","","Gifts to state officers, etc","H State Governmen","","1/12/2015","Hurst"
"HB 1084","","Land use applications/notice","H Local Govt","","1/12/2015","Pollet"
"HB 1085","f","Lobbyists, electronic filing","H subst for","","3/5/2015","Moeller"
"HB 1086","f","Public record commercial use","H Approps","","2/19/2015","Moeller"
"EHB 1087","f#","Traffic safety cameras","H Trans","","1/11/2016","Takko"
"HB 1088","","Flood contr zone supervisors","H subst for","","2/11/2015","Takko"
"HB 1089","fd","Responsible bidder criteria","H subst for","","2/16/2015","Hunt, S."
"HB 1090","fd#","Finan. fraud, identity theft","C 65 L 15","","4/23/2015","Kirby"
"EHB 1091","afd","Ticket sales over internet","C 129 L 15","","4/28/2015","Van De Wege"
"HB 1092","fd","Patent infringement claims","H Judiciary","","1/11/2016","Jinkins"
"HB 1093","f#","Unmanned aircraft","H subst for","","3/4/2015","Morris"
"HB 1094","f","Biometric identifiers","H subst for","","3/4/2015","Morris"
"HB 1095","f#","Thermal energy efficiency","H subst for","","3/5/2015","Morris"
"HB 1096","","Electric distribution system","H Tech &  Econ D","","1/12/2015","Morris"
"HB 1097","f","Renewable energy/job growth","H Tech &  Econ D","","1/12/2015","Morris"
"HB 1098","f","Electric utility regulation","H Tech &  Econ D","","1/12/2015","Morris"
"HB 1099","","Contracts over the internet","H Judiciary","","1/12/2015","Morris"
"HB 1100","f","Appliance efficiency","H subst for","","2/12/2015","Morris"
"HB 1101","","Conservation districts","H Local Govt","","1/12/2015","Wilcox"
"HB 1102","f#","Sewer system in right-of-way","H Local Govt","","1/12/2015","Takko"
"HB 1103","f","Prescription drug monitoring","H subst for","","2/9/2015","Jinkins"
"HB 1104","f#","Interference w/ag production","H Public Safety","","1/12/2015","Schmick"
"HB 1105","fe","Operating sup budget 2015","H subst for","","1/29/2015","Hunter"
"HB 1106","fe","Operating budget 2015-2017","H subst for","","4/2/2015","Hunter"
"HB 1107","f#","Cultural & heritage programs","H Finance","","1/11/2016","Springer"
"HB 1108","f","Food truck beer-wine license","H Commerce & Gam","","1/12/2015","Reykdal"
"HB 1109","f","OSPI certif'd employees/TRS","H subst for","","3/2/2015","Reykdal"
"HB 1110","","Shared parent responsibility","H Judiciary","","1/12/2015","Reykdal"
"HB 1111","o","Court transcripts","H subst for","","2/17/2016","Kilduff"
"HB 1112","f","Gold star license plates","H Trans","","1/11/2016","Appleton"
"HB 1113","","Solemnizing marriages","H Rules 3C","","4/24/2015","Appleton"
"HB 1114","f","Internet poker","H Commerce & Gam","","1/12/2015","Appleton"
"2EHB 1115","e","Capital budget 2015, 2015-17","C 3 L 15 E3","PV","6/30/2015","Dunshee"
"HB 1116","e","Capital sup budget 2015","H Cap Budget","","1/13/2015","Dunshee"
"HB 1117","fd","Veterans' scoring criteria","H State Governme","","1/13/2015","Klippert"
"HB 1118","f","Fish & wildlife cost savings","H subst for","","3/10/2015","Blake"
"HB 1119","f","Hunter safety & minimum ages","H Ag & Nat Res","","1/13/2015","Blake"
"HB 1120","","School bus driver immunity","H Judiciary","","1/11/2016","Wilcox"
"HB 1121","f","Financial education prtnrshp","H subst for","","3/2/2015","Parker"
"HB 1122","f#","Dispatch operators","H Labor","","1/13/2015","Sells"
"EHB 1123","","Single-family res. dwellings","H Rules X","","2/26/2016","Blake"
"HB 1124","a","Beer and wine sampling","C 180 L 15","","5/7/2015","Takko"
"HB 1125","f","Econ recovery from wildfires","H Comm Dev, Hous","","1/14/2015","Hawkins"
"HB 1126","f","Fatality reviews by DEL","H subst for","","3/4/2015","Kagi"
"HB 1127","f","Ag labor skills and safety","H subst for","","3/6/2015","Chandler"
"HB 1128","f#","DNA sample/ranked felonies","H Public Safety","","1/14/2015","Hurst"
