District Number,District Map,District Wikipedia Map,District Wikipedia Page
1,,https://en.wikipedia.org/wiki/File:LD_01.pdf,https://en.wikipedia.org/wiki/Washington%27s_1st_legislative_district \o Washington's 1st legislative district
2,,https://en.wikipedia.org/wiki/File:LD_02.pdf,https://en.wikipedia.org/wiki/Washington%27s_2nd_legislative_district \o Washington's 2nd legislative district
3,,https://en.wikipedia.org/wiki/File:LD_03.pdf,https://en.wikipedia.org/wiki/Washington%27s_4th_legislative_district \o Washington's 4th legislative district
4,,https://en.wikipedia.org/wiki/File:LD_04.pdf,https://en.wikipedia.org/wiki/Washington%27s_5th_legislative_district \o Washington's 5th legislative district
5,,https://en.wikipedia.org/wiki/File:LD_05.pdf,https://en.wikipedia.org/wiki/Washington%27s_6th_legislative_district \o Washington's 6th legislative district
6,,https://en.wikipedia.org/wiki/File:LD_06.pdf,https://en.wikipedia.org/wiki/Washington%27s_7th_legislative_district \o Washington's 7th legislative district
7,,https://en.wikipedia.org/wiki/File:LD_07.pdf,https://en.wikipedia.org/wiki/Washington%27s_8th_legislative_district \o Washington's 8th legislative district 
8,,https://en.wikipedia.org/wiki/File:LD_08.pdf,https://en.wikipedia.org/wiki/Washington%27s_3rd_legislative_district \o Washington's 3rd legislative district
9,,https://en.wikipedia.org/wiki/File:LD_09.pdf,https://en.wikipedia.org/wiki/Washington%27s_9th_legislative_district \o Washington's 9th legislative district 
10,,https://en.wikipedia.org/wiki/File:LD_10.pdf,https://en.wikipedia.org/wiki/Washington%27s_11th_legislative_district \o Washington's 11th legislative district
11,,https://en.wikipedia.org/wiki/File:LD_11.pdf,https://en.wikipedia.org/wiki/Washington%27s_12th_legislative_district \o Washington's 12th legislative district
12,,https://en.wikipedia.org/wiki/File:LD_12.pdf,https://en.wikipedia.org/wiki/Washington%27s_10th_legislative_district \o Washington's 10th legislative district
13,,https://en.wikipedia.org/wiki/File:LD_13.pdf,https://en.wikipedia.org/wiki/Washington%27s_13th_legislative_district \o Washington's 13th legislative district
14,,https://en.wikipedia.org/wiki/File:LD_14.pdf,https://en.wikipedia.org/wiki/Washington%27s_14th_legislative_district \o Washington's 14th legislative district
15,,https://en.wikipedia.org/wiki/File:LD_15.pdf,https://en.wikipedia.org/wiki/Washington%27s_15th_legislative_district \o Washington's 15th legislative district
16,,https://en.wikipedia.org/wiki/File:LD_16.pdf,https://en.wikipedia.org/wiki/Washington%27s_16th_legislative_district \o Washington's 16th legislative district
17,,https://en.wikipedia.org/wiki/File:LD_17.pdf,https://en.wikipedia.org/wiki/Washington%27s_17th_legislative_district \o Washington's 17th legislative district
18,,https://en.wikipedia.org/wiki/File:LD_18.pdf,https://en.wikipedia.org/wiki/Washington%27s_18th_legislative_district \o Washington's 18th legislative district 
19,,https://en.wikipedia.org/wiki/File:LD_19.pdf,https://en.wikipedia.org/wiki/Washington%27s_19th_legislative_district \o Washington's 19th legislative district
